et,eta,theta,phi
87.0063,-0.889983,2.36226,-1.061
60.6613,0.317969,1.25805,2.40716
52.2632,-1.73361,2.79191,1.44359
22.1225,-2.68293,3.00508,-2.70086
21.9102,1.19005,0.590624,-2.44581
20,0.924569,0.755321,-0.638223
18.49,3.86191,0.0420494,-2.86964
17.3452,-2.89253,3.03083,-1.27056
17.0276,2.75698,0.126797,1.07276
15.8756,-1.73612,2.79277,0.0124944
15.6693,1.35361,0.505561,0.918516
14.2744,-3.26496,3.06523,1.91622
13.5325,3.93683,0.0390151,1.33669
13.8457,-0.623912,2.15777,-2.94535
13.7758,0.188263,1.38364,0.13134
11.8998,2.40273,0.18045,-1.86586
11.8356,-1.79063,2.81093,2.86704
11.5569,1.71963,0.354505,1.92857
11.4469,2.09665,0.244508,-0.108301
10.3974,-3.18862,3.05918,0.570305
10.7625,-0.831358,2.3202,0.627662
10.1419,1.07712,0.656509,2.83927
9.60264,-1.24552,2.58115,-2.14937
8.98871,-3.82165,3.09782,-0.860323
8.79618,-0.711276,2.22872,2.13921
8.23605,2.77927,0.124008,-2.74987
7.78788,-4.25705,3.11327,1.02013
6.87553,-1.9988,2.87224,-1.30875
6.66797,4.61722,0.0197598,2.62325
6.56985,3.9275,0.0393807,-1.23559
6.51915,3.43686,0.0643087,0.00843755
6.48622,-4.29346,3.11428,-1.86681
5.94786,2.85063,0.115487,2.32174
5.89311,-3.85666,3.09932,3.08136
5.30779,4.40746,0.0243711,0.0481353
5.25539,-0.40738,1.96735,-0.450213
4.35245,1.59556,0.400162,-1.271
4.37684,0.0780427,1.49283,1.36597
3.67224,4.69533,0.0182751,-2.16207
3.45012,-4.4948,3.11926,-0.174139
