et,eta,theta,phi
65.1498,-1.30831,2.61365,-0.056567
57.3486,1.61748,0.391708,-1.86981
57.1477,1.08799,0.649899,-3.02658
40.4403,-2.50698,2.97892,1.69964
26.6705,0.479607,1.10858,0.218036
20.2668,3.32087,0.0722111,2.70169
20.0889,-2.81986,3.02251,-0.480103
16.6109,-1.33417,2.62653,-0.902791
15.6543,1.44492,0.463072,1.44261
15.0756,4.17045,0.0308883,0.870917
15.7799,0.5538,1.04331,1.92953
13.2911,-3.70583,3.09244,1.88882
11.4092,-3.43061,3.07688,-2.25788
11.3774,-2.97152,3.03923,2.92679
11.1618,-1.4522,2.68176,-3.05558
10.9241,-1.38289,2.65003,1.11104
10.6267,3.07757,0.0920769,-1.79162
11.5322,-0.0863262,1.65702,2.84239
10.8983,0.22802,1.34473,-1.87951
9.41107,-0.394216,1.95518,-0.6214
8.69126,2.62313,0.144896,0.323649
8.44592,-2.44573,2.9687,-2.23153
8.581,-1.04907,2.46777,-2.21624
8.1715,-4.34096,3.11555,0.305879
7.51782,2.70202,0.133939,-2.97167
7.52418,2.17454,0.226349,-0.86874
7.57118,1.39977,0.483653,-0.431299
6.69284,-3.09714,3.0513,0.809643
6.20997,3.78134,0.0455762,-1.00449
5.65293,-4.18014,3.111,-1.07524
4.8044,-0.344428,1.90861,0.762468
4.30891,2.1478,0.232429,2.30517
4.30592,-1.57362,2.7328,2.29689
4.23199,-2.86156,3.02736,-1.48437
4.14484,3.92573,0.0394502,1.84907
3.89565,3.0812,0.0917438,-0.250427
3.59964,3.51472,0.0594948,-2.5155
3.52636,-3.95781,3.10339,-2.95607
3.28608,-4.58523,3.12119,2.55394
3.18619,1.88718,0.30071,-3.0476
