et,eta,theta,phi
310.76,0.779955,0.859679,-1.57886
156.643,0.553306,1.04374,1.71626
113.177,1.62896,0.387351,1.47798
35.4784,2.26927,0.206042,1.18597
24.47,1.46575,0.453855,0.503878
22.4696,1.4524,0.459742,2.91967
11.1459,-2.90594,3.03231,-0.510323
11.2633,0.281597,1.29285,2.93938
10.4567,1.31924,0.522459,-0.366462
10.6693,-0.614821,2.15018,-0.594067
8.5098,-3.54509,3.08388,1.59961
8.14864,-2.46073,2.97126,2.26401
8.05616,4.1164,0.0326034,2.38867
7.86176,-1.50563,2.70491,1.96577
7.50923,-1.94689,2.85807,-1.3211
6.88163,1.7838,0.332889,-2.425
5.95028,-2.49789,2.97745,-2.41904
5.75382,0.813188,0.834774,1.01985
5.46037,3.14865,0.0857673,-2.58974
5.42247,-3.15538,3.0564,2.70818
5.1319,4.21357,0.0295848,0.225637
5.16161,-0.800657,2.29749,-2.62739
4.32466,-4.08794,3.10805,-0.578004
4.17831,-4.14936,3.11005,2.88479
4.07068,3.1772,0.0833564,0.229666
4.02594,3.40255,0.066552,-1.67953
4.05149,-1.38001,2.64867,0.226603
3.99704,-0.372543,1.93501,1.67409
3.83229,-2.3886,2.95859,0.311833
