et,eta,theta,phi
113.39,-1.78946,2.81055,2.13654
96.2116,-1.04059,2.46247,-1.60792
70.0467,-1.71832,2.78663,-0.152041
21.4267,-2.60311,2.99378,1.1561
15.1332,1.4528,0.459565,1.8572
14.6405,1.25885,0.553392,-0.408369
15.3399,0.114467,1.45658,-2.39025
13.4073,-2.23879,2.92922,-1.75525
12.786,-2.89127,3.0307,-1.01938
12.2673,4.33565,0.0261851,-2.82695
9.77306,3.15902,0.0848839,-2.30313
9.32259,-3.73878,3.09404,2.42072
9.97673,0.317294,1.2587,-0.0533463
9.14044,0.865396,0.79676,-1.57275
8.75722,-4.37701,3.11647,-0.451064
8.69446,-4.14152,3.1098,-2.33787
8.80666,-0.887875,2.36078,1.16129
7.68942,4.19864,0.0300297,0.208153
7.80799,-1.31864,2.61884,2.92289
7.14917,3.68814,0.0500264,1.26146
7.12884,-2.83374,3.02414,2.78337
7.0856,-4.51561,3.11972,0.964152
6.90768,1.62527,0.388746,2.92077
6.51061,2.49001,0.165439,-0.228752
6.46448,4.14587,0.0316568,-1.89358
6.73121,0.579659,1.02111,-3.03876
6.01871,2.02653,0.262074,0.954868
5.6049,-3.12099,3.05342,-2.57344
5.56197,3.86261,0.04202,2.32315
5.55114,1.85563,0.310198,-2.15549
5.02486,2.52416,0.159909,-3.0381
5.06223,-0.761556,2.26789,-0.261049
4.61289,-2.97732,3.03982,0.474159
4.83274,0.157237,1.4142,2.30357
4.31914,1.81418,0.323103,-1.07757
3.81677,2.47445,0.168023,2.14205
3.79588,4.86502,0.0154231,2.4506
3.55737,4.40793,0.0243596,-0.892036
3.49504,-2.07938,2.89287,-2.61456
3.31918,-1.88049,2.83889,0.935468
