eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision
1.28821,2.3676,1.73349,-1,0,0,1.59886,0.362425,1.90705,1.13871,0.426246,1.08405,,-999,0,0,,,1
-1.56334,-2.43276,2.43452,1,0,0,1.07101,0,1.27837,0.460135,0.460135,0,,-999,0,0,,,1
1.51058,-2.1092,2.88801,-1,0,0,0,1,0,0,0,0,,-999,0,0,,,1
0.650217,-1.68493,2.76606,1,0.615246,0,0.673569,0,0.461843,0.273163,0,0,,-999,0,0,,,1
1.17496,0.602713,1.00597,-1,0,1.38629,0,1,0,0,0,0,,-999,0,0,,,1
-0.252532,0.174077,1.45712,1,2.46283,0,0.819623,0,0.569093,0.569093,0,0,,-999,0,0,,,1
-0.436765,2.03238,23.194,-1,17.2571,2.64488,3.4456,0.896171,0.706946,0.706946,0,6.10177,,-999,0,0,,,1
0.319691,2.30715,3.90118,1,0,0,0.827629,0.720395,0.523341,0.523341,0.523341,1.34837,,-999,0,0,,,1
-0.975515,1.16878,3.69493,-1,3.30561,0,0,1,0,0,0,3.77032,,-999,0,0,,,1
3.42265,-1.49798,5.67863,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-2.69417,0.960715,6.32167,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.43826,-1.95471,5.19139,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.7469,-0.460503,9.64744,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.64193,-0.313395,10.0642,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.23673,-2.68589,8.76901,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.44461,0.528196,7.99509,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
1.53547,1.2779,11.174,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.68939,-0.603873,5.66637,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-1.119,2.17182,5.7794,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-2.89342,2.86291,5.69512,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-2.91716,1.89895,8.21757,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-4.06045,1.72787,6.0455,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
1.98431,0.325292,5.75396,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.91952,2.72101,6.05469,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.36081,1.1097,5.95956,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
0.264226,1.12478,5.79659,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.2627,-0.792945,7.789,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-2.61824,-1.17661,61.8651,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-4.35254,-2.50139,3.22148,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.71275,-1.19074,3.39451,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.88549,-2.47738,6.8464,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.88726,2.63185,3.46841,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-4.5504,2.33107,3.47692,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.56958,0.792453,3.49159,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.93504,1.72205,4.02581,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.50865,-0.0669636,4.08988,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-1.88676,-1.72149,4.16563,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.98357,-2.10626,4.21098,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-1.75652,1.39948,4.31403,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.65398,2.49006,6.73542,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.62288,-2.94845,4.6668,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-2.80579,-1.99456,4.72655,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.6542,0.360926,4.75748,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.70345,0.291284,16.2499,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.19831,2.75456,15.9807,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
1.20372,-2.68461,2.8459,-1,0,0,1.42166,0.44585,1.4762,1.03717,1.03717,0,,-999,0,0,,,1
2.3276,1.11168,1.5801,-1,0,0,1.48504,0.48334,1.06894,1.06894,0,1,,-999,0,0,,,1
-0.798471,2.89014,1.12014,1,0,0,0,-1,0,0,0,0,,-999,0,0,,,1
2.17163,2.06271,1.05562,-1,0,0,1.01969,0.24644,0.995784,0.995784,0.995784,0.325655,,-999,0,0,,,1
-2.04797,-0.238131,0.934871,-1,0,0,1.10355,0,2.24239,1.35086,0,0,,-999,0,0,,,1
-2.24788,-0.790001,0.807448,1,0,0,0.903814,0.153935,2.48992,1,1,0.453022,,-999,0,0,,,1
-1.88771,0.768841,1.0213,-1,0,0,0,1,0,0,0,1.07723,,-999,0,0,,,1
0.83786,-0.159218,1.91541,1,0.564586,0,0.200034,0.74006,0.726512,0.726512,0,0,,-999,0,0,,,1
-0.722969,-1.6067,1.28539,1,1.38709,0,1.64982,0,2.32302,1.41245,0.910573,0,,-999,0,0,,,1
-0.822489,-2.32728,0.825945,-1,1.38709,0,1.64982,0,2.95487,2.06082,2.06082,0,,-999,0,0,,,1
-2.0932,2.97502,2.39799,1,0,1.53987,0.822881,0.713957,0.58269,0.339573,0.243117,0.928315,,-999,0,0,,,1
-0.358939,-2.19837,1.67629,1,1.50189,1.15307,0.783131,0.412266,0.933488,0.56155,0,0.654794,,-999,0,0,,,1
2.08087,-3.02297,3.03365,1,6.91991,0,4.31604,0.621183,1.32392,1.08011,0,0,,-999,0,0,,,1
