et,eta,theta,phi
66.3022,-0.450814,2.00707,1.95712
63.6382,-2.60956,2.99472,-1.17074
28.4584,2.12128,0.238617,2.97042
19.2064,2.70041,0.134154,0.28367
17.13,3.8791,0.041333,-0.329995
18.1127,-0.509743,2.0598,-1.99692
16.3883,-0.242781,1.81123,0.180384
13.8277,-1.6522,2.76293,-2.52739
13.2912,4.18564,0.0304225,-2.53368
13.2333,1.257,0.554364,2.35765
12.7619,-3.83567,3.09843,-0.535565
12.4567,-1.02701,2.45389,1.15002
12.5961,0.978046,0.719374,-0.479131
12.0215,1.54228,0.421437,1.29852
11.8395,2.77368,0.124702,1.3518
11.7558,-3.34433,3.07105,0.586382
11.6123,-3.22005,3.06173,3.05167
11.3694,-2.94175,3.03614,1.86782
11.6028,1.39165,0.487444,-2.18528
10.3963,3.01321,0.0981885,-0.925118
9.80592,2.88316,0.111799,-2.47233
9.11165,-2.11957,2.90257,1.17916
8.48099,-4.1869,3.11121,1.84909
8.4448,-2.059,2.8878,2.69006
8.39039,-3.66329,3.09031,-1.94264
8.30263,0.355845,1.22223,2.45015
7.56109,3.98972,0.0370055,2.71962
7.31403,0.618484,0.988347,-1.69102
7.16073,-1.26531,2.59159,-1.15447
6.86404,-2.13883,2.90709,-0.137258
6.95027,0.334748,1.24213,1.14548
6.43017,3.70248,0.0493146,0.83066
5.92017,-3.94149,3.10276,2.62333
5.72345,4.97376,0.013834,2.91032
5.65716,4.57982,0.0205127,-1.00334
5.44886,-2.76441,3.01573,-2.0638
5.1111,1.16996,0.601904,0.511136
5.14124,1.07399,0.658422,-2.94208
4.73591,4.69349,0.0183088,0.658096
4.70639,1.89144,0.299451,0.180033
5.0023,-0.582336,2.12276,3.13176
3.9824,3.51245,0.0596299,-1.68695
3.77809,3.95918,0.0381527,1.84931
3.66375,-4.42124,3.11756,-2.71041
3.84498,-0.427761,1.98608,-0.748538
3.41688,3.04647,0.0949812,2.86761
3.29567,-4.78025,3.12481,-0.264492
3.1773,-4.73389,3.12401,-1.68573
3.17448,2.08478,0.2474,2.01624
