pt,charge,pos_x,pos_y,pos_z,phi,eta
1.48045,-1,0.000767799,0.000686855,-0.0135693,2.54588,-2.14644
3.95591,1,0.000738472,0.000601388,-0.028134,1.50387,-1.67123
1.24807,1,0.000657481,0.000602434,0.0866083,1.50494,-2.03002
1.59411,1,0.000675882,0.000569952,0.01059,2.27587,-1.36626
0.958759,1,0.000840035,0.000676885,0.0107238,2.10635,-2.16811
1.00088,-1,0.000958142,0.00086212,-0.0621995,2.36636,-2.14918
1.90709,-1,0.0011106,0.00097143,-0.0880875,2.30242,-2.20048
1.0646,1,0.00083685,0.000585215,-0.0259074,1.43046,-2.04437
1.67509,1,0.0294031,-0.00100546,-0.0334051,1.51502,-1.62296
1.27615,1,0.00225481,-0.00209896,-0.100498,-2.62102,-2.20737
1.6698,1,0.000426758,0.000927817,-0.000635738,-2.42279,-2.3381
