pos_1_x,pos_1_y,pos_1_z,dir_1_x,dir_1_y,dir_1_z,pos_2_x,pos_2_y,pos_2_z,dir_2_x,dir_2_y,dir_2_z
0.000713795,0.000712227,-0.00256621,-1.29965,-0.149859,1.68818,-1.12851,0.593853,1.77852,-0.575426,1.10336,1.65508
0.000732789,0.000515746,-0.0256158,-0.781936,-0.080197,0.28833,-0.251474,-1.25018,0.609058,0.664734,-0.341395,0.279482
0.000739947,0.000574589,0.0671637,-1.08433,-0.221657,-0.511296,-0.76253,-1.02212,-0.585062,0.102997,-1.06789,-0.50333
0.000703922,0.000667913,-0.0322125,-0.873856,-0.277764,0.762079,-1.03424,0.746,1.19593,-0.00502801,0.88867,0.739049
0.000711256,0.000673007,0.0271845,-2.91183,-0.792113,-0.048486,-1.11205,-0.624144,0.0100172,-2.18172,-2.0603,-0.0372627
0.000824127,0.000393174,-0.00222858,-0.774777,-0.353541,-1.68099,-0.138904,-1.26763,-3.03871,0.615244,-0.474578,-1.57335
0.000737895,0.000577768,-0.0885423,-0.754007,-0.486297,1.07547,-0.0364234,-1.2747,1.71375,0.696277,-0.498682,1.03581
0.000729214,0.000600659,-0.0323434,-0.810254,-0.614204,-0.448715,-0.139304,-1.26759,-0.645361,0.644091,-0.747779,-0.42131
0.000531566,0.000841095,0.0281056,-0.614469,-0.520115,0.252989,0.373725,-1.21922,0.521474,0.770871,-0.0701139,0.234757
0.000723466,0.0006119,0.034012,-0.514186,-0.737727,-1.34648,-1.27522,-0.00268641,-2.18479,-0.48487,0.702712,-1.26312
0.000717093,0.000614448,-0.0252959,-0.51166,-0.616915,-0.972596,0.590351,-1.13034,-2.00736,0.756566,0.0727258,-0.938931
0.00078294,0.000581008,-0.0256997,-0.474782,-0.999442,-2.13564,-1.17043,-0.506231,-2.7039,-1.01109,0.326283,-2.04316
0.000714981,0.00061444,0.0810365,-0.348052,-0.826163,-3.11095,-0.736541,-0.480695,-3.16813,-0.827096,-0.000292859,-2.89782
