et,eta,theta,phi
87.3954,-0.160207,1.73032,-1.01913
85.8498,-0.700578,2.22023,2.48902
76.3916,-0.378838,1.94089,1.35195
55.1504,1.60803,0.395334,-1.66186
38.6486,-1.88766,2.84103,0.84716
34.3384,0.865998,0.79633,2.08057
24.5055,1.21054,0.57931,-0.147038
25.9426,0.251047,1.32235,-2.86922
23.359,0.679536,0.938228,-1.41878
22.5393,-2.5503,2.98579,-2.13999
22.6676,-0.323662,1.88895,0.273664
18.0105,-1.20962,2.56178,-2.2476
17.6154,-1.87045,2.83589,3.02253
15.1625,-3.87612,3.10014,0.903558
14.6027,-1.40369,2.65976,-0.549577
13.2246,-2.66579,3.00273,2.05195
12.9323,-3.86048,3.09948,-1.71222
12.6395,-3.61003,3.0875,2.75021
12.6909,2.01076,0.266191,0.522381
11.896,3.63533,0.0527382,2.60663
11.8546,3.39504,0.0670535,-1.6848
11.4516,-3.82109,3.09779,-0.537116
11.7463,1.23097,0.568222,-2.68226
10.8546,3.52611,0.0588213,1.33092
9.8445,4.13332,0.0320563,-0.507064
8.65825,-2.54177,2.98446,-0.658092
8.4215,-1.47809,2.69312,1.82184
7.63225,4.21802,0.0294533,-2.67214
7.60679,-4.3112,3.11476,-2.69439
7.43123,-2.97621,3.03971,0.331144
6.91138,-3.81418,3.09749,1.81304
6.82079,0.798316,0.845852,1.04439
5.88161,-4.88547,3.12648,2.59828
5.66768,2.53209,0.158652,-1.39971
5.59289,1.95337,0.281712,2.68792
5.47343,-1.78512,2.80914,-1.40523
5.27773,4.46732,0.0229551,1.75988
5.06976,3.01387,0.0981238,-0.315595
4.96555,4.39978,0.0245588,0.545872
4.95212,4.73481,0.0175678,2.75869
4.74934,-4.8691,3.12623,-0.512018
4.18551,-0.312692,1.87851,-1.79424
3.82965,1.87816,0.303393,-0.51438
3.81332,-0.938415,2.39572,0.875287
3.90208,-0.774383,2.27768,-2.82629
3.80596,0.533934,1.06056,2.75495
3.40207,4.78006,0.0167906,-1.56295
