pos_x,pos_y,pos_z
-0.0518911,0.0690214,-0.354228
-0.153579,0.184302,-0.849156
-0.26163,0.288241,-1.34318
-0.374559,0.380484,-1.83678
-0.490795,0.4609,-2.33042
-0.608699,0.529637,-2.8246
-0.726632,0.58715,-3.31974
-0.843121,0.633991,-3.81626
-0.956843,0.671203,-4.31444
-1.06696,0.700218,-4.81442
-1.1736,0.722986,-5.31598
-1.30637,0.742539,-5.81004
-1.47862,0.754005,-6.29302
-1.67292,0.753532,-6.77048
-1.87674,0.740071,-7.24624
-2.0784,0.72355,-7.72291
-2.26915,0.727895,-8.20101
-2.45925,0.729763,-8.67951
-2.635,0.7723,-9.15873
-2.80188,0.843932,-9.63805
-2.9636,0.925124,-10.1181
