et,eta,theta,phi
68.6356,0.677835,0.939601,1.72341
55.8657,-1.07633,2.4846,-1.34896
33.478,2.37889,0.18478,1.44897
31.8417,1.48538,0.445323,2.46267
23.46,-1.8618,2.83327,-1.12999
20.9998,1.63763,0.38409,-2.76518
18.8865,1.78367,0.33293,-0.216793
20.4443,0.353942,1.22402,3.09401
18.0221,-1.97083,2.86469,2.54625
16.8547,2.90718,0.109151,-0.549557
16.0802,3.46485,0.0625347,1.86005
16.803,-0.469566,2.024,-0.463646
14.3873,2.80631,0.120708,-2.2148
14.2836,-3.94066,3.10273,0.33751
14.4269,-1.63796,2.75763,-0.0867313
13.8413,1.18353,0.594265,-1.6103
14.7768,0.09259,1.47834,-2.1298
11.2496,-3.06229,3.0481,-2.31283
11.0709,-3.26481,3.06522,2.17668
10.8267,-2.94246,3.03622,-1.1975
10.3113,3.41138,0.0659675,-3.11672
10.3015,2.97642,0.101862,0.262598
10.0354,-1.05555,2.47181,-2.84728
9.47616,4.38491,0.0249268,2.3677
9.45067,-4.37475,3.11641,-1.27345
9.68652,-0.232534,1.80126,1.38707
8.41753,3.84405,0.0428067,-1.23604
7.91021,-4.61846,3.12186,1.22884
8.10573,0.421685,1.16108,-0.640817
6.5596,-4.30392,3.11456,-2.38899
6.56363,-2.13875,2.90707,0.902096
6.47893,4.2712,0.0279282,-2.44287
6.70268,-0.963478,2.41257,0.806224
6.20258,4.17894,0.030627,0.693269
6.10356,-0.962913,2.41219,2.31415
5.01314,-3.08894,3.05056,3.02626
4.88257,-4.19192,3.11136,2.6152
4.7589,-3.15099,3.05603,0.781418
4.91832,-0.0390422,1.60983,0.324885
4.6428,2.14395,0.233318,-1.28966
4.58664,0.936519,0.747165,0.484111
3.88389,4.61706,0.019763,-0.524077
3.32849,-1.99372,2.87088,1.69515
3.07889,-4.85146,3.12596,-0.126132
3.10109,1.70651,0.359086,0.980711
