pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
13.9104,1.85775,-0.402923,,0.000715369,0.000631326,0.0106983,photon,1096452132
10.1916,0.946838,-2.89166,-1.0,0.000712861,0.000649154,-0.00441383,electron,1096455614
9.98587,0.943351,-2.74026,,0.000746147,0.000618341,-0.00436113,photon,1096455614
88.0161,-0.10938,-2.34881,,0.000701431,0.000609586,-0.0274282,photon,119516329
21.9245,-1.42713,0.782554,,0.000701431,0.000609586,-0.0274282,photon,119516329
32.1013,-2.35464,-0.192364,,0.000701431,0.000609586,-0.0274282,photon,119516329
3.59422,-1.50157,0.785905,-1.0,,,,muon,119516329
10.5047,-0.203402,-2.33635,1.0,,,,muon,119516329
6.03755,-0.242959,-2.25802,1.0,,,,muon,119516329
3.65229,-1.39024,0.925831,-1.0,,,,muon,119516329
1.12867,-1.86235,2.17796,1.0,,,,muon,119516329
0.915234,-2.32535,1.78244,1.0,,,,muon,119516329
5.64562,2.34104,-1.38551,-1.0,0.00013206,0.000493626,0.00387134,electron,119560793
23.596,0.361259,0.0174413,1.0,,,,muon,119560793
4.76701,0.464854,-0.508454,1.0,,,,muon,119560793
1.85948,1.50121,2.25641,-1.0,,,,muon,119560793
4.91747,1.80106,2.69115,-1.0,,,,muon,119560793
2.46633,2.11592,-3.04794,1.0,,,,muon,119560793
5.29876,0.373611,-0.630944,-1.0,,,,muon,119560793
4.73621,0.28084,-0.0769599,-1.0,,,,muon,119560793
1.2884,2.07506,-2.56419,1.0,,,,muon,119560793
36.2035,-1.19391,-0.237083,1.0,0.000710886,0.00059693,0.0269722,electron,119639913
35.7259,-1.18506,-0.25338,,0.000697714,0.000601399,0.0270038,photon,119639913
12.2495,-0.495693,2.8375,,0.000697714,0.000601399,0.0270038,photon,119639913
9.32803,-0.136085,2.7852,-1.0,,,,muon,119639913
16.9628,-0.237953,2.80904,1.0,,,,muon,119639913
19.6912,-0.11237,2.79355,1.0,,,,muon,119639913
1.56563,-2.06893,3.13317,1.0,,,,muon,119639913
2.44207,-1.83652,2.21525,-1.0,,,,muon,119639913
0.835856,-2.18048,0.429052,-1.0,,,,muon,119639913
1.65398,-2.05865,-3.07694,1.0,,,,muon,119639913
1.81684,-1.302,0.793063,-1.0,,,,muon,119646793
28.8421,-0.12097,-2.90561,1.0,,,,muon,119646793
0.77702,-2.08312,-1.29937,-1.0,,,,muon,119646793
1.03153,-1.65,0.275048,-1.0,,,,muon,119646793
1.2001,1.9875,1.94909,-1.0,,,,muon,119646793
1.05122,-2.22668,2.39381,1.0,,,,muon,119646793
7.07537,-1.76383,0.00891501,1.0,,,,muon,119646793
12.3035,-0.162624,-3.0517,-1.0,,,,muon,119646793
1.56156,-1.78708,0.441196,1.0,,,,muon,119646793
1.08215,-1.57832,-1.37455,-1.0,,,,muon,119646793
2.49388,1.86709,-1.35064,1.0,,,,muon,119646793
1.76255,-2.08804,1.403,-1.0,,,,muon,119646793
2.59216,-1.90207,1.37727,-1.0,,,,muon,119646793
1.27811,-2.16203,1.21683,-1.0,,,,muon,119646793
1.20218,2.39091,2.33369,-1.0,,,,muon,119646793
1.49279,2.35523,-2.49963,-1.0,,,,muon,119646793
2.03032,-1.91502,0.214165,1.0,,,,muon,119646793
0.923488,-2.21552,1.00444,-1.0,,,,muon,119646793
26.9946,-0.323776,-2.90483,1.0,,,,muon,119646793
1.93808,-1.45769,0.634084,1.0,,,,muon,119646793
1.94062,-1.47742,0.584895,1.0,,,,muon,119646793
11.6255,-1.48865,1.77577,1.0,,,,muon,119646793
4.46306,-1.2389,-0.367009,-1.0,,,,muon,119659321
18.1253,-1.51091,-0.29803,1.0,,,,muon,119659321
11.9388,-0.396583,-2.91338,-1.0,,,,muon,119671113
25.6068,-0.530899,0.0578919,1.0,,,,muon,119671113
1.22089,1.72512,2.13908,1.0,,,,muon,119671113
1.44858,2.15197,1.7111,1.0,,,,muon,119671113
0.887797,2.33716,2.05115,1.0,,,,muon,119671113
1.52217,-1.3625,2.2674,1.0,,,,muon,119671113
1.62099,1.81063,1.99674,-1.0,,,,muon,119671113
10.9304,-1.18736,2.11844,,0.000716143,0.000601436,0.0239597,photon,119672497
9.8888,2.24745,-1.10873,1.0,,,,muon,119672497
1.099,1.75337,-0.17302,1.0,,,,muon,119672497
1.0104,2.21504,-1.14405,-1.0,,,,muon,119672497
0.855178,-1.896,1.01555,1.0,,,,muon,119672497
2.56843,1.73923,-1.43285,-1.0,,,,muon,119672497
0.829859,-2.0029,0.988535,1.0,,,,muon,119672497
2.74151,-1.10489,-1.21479,-1.0,0.00154261,0.000825441,0.000928055,electron,119679017
28.5454,-1.21204,-2.24811,1.0,,,,muon,119679017
34.1948,0.721753,0.956844,-1.0,,,,muon,119679017
1.48045,-2.14644,2.54588,-1.0,,,,muon,119679993
3.95591,-1.67123,1.50387,1.0,,,,muon,119679993
1.24807,-2.03002,1.50494,1.0,,,,muon,119679993
1.59411,-1.36626,2.27587,1.0,,,,muon,119679993
0.958759,-2.16811,2.10635,1.0,,,,muon,119679993
1.94162,-1.29562,-0.299755,-1.0,,,,muon,119679993
1.00088,-2.14918,2.36636,-1.0,,,,muon,119679993
1.90709,-2.20048,2.30242,-1.0,,,,muon,119679993
1.0646,-2.04437,1.43046,1.0,,,,muon,119679993
1.67509,-1.62296,1.51502,1.0,,,,muon,119679993
1.27615,-2.20737,-2.62102,1.0,,,,muon,119679993
1.6698,-2.3381,-2.42279,1.0,,,,muon,119679993
