pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id,et,theta,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,energy,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,rp_x,rp_y,rp_z,calo_energy,chi2,ndof
,3.21403,-1.01584,,,,,,,,jet,Event_1203594102,8.16612,0.080345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-3.10579,-0.812696,,,,,,,,jet,Event_1203594102,6.52548,3.05207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-2.86885,-2.50843,,,,,,,,jet,Event_1203594102,6.40569,3.02819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.604623,1.2597,,,,,,,,jet,Event_1203594102,5.8835,2.14163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.61622,-0.237016,,,,,,,,jet,Event_1203594102,5.55561,0.053755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.40037,2.35786,,,,,,,,jet,Event_1203594102,5.49769,0.0666971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-2.25227,-1.72044,,,,,,,,jet,Event_1203594102,5.27019,2.93204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.13875,2.27995,,,,,,,,jet,Event_1203594102,4.93789,0.234523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.91426,-2.79082,,,,,,,,jet,Event_1203594102,4.90147,2.37918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.66708,-2.20301,,,,,,,,jet,Event_1203594102,4.70203,0.051091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-3.86868,-3.08125,,,,,,,,jet,Event_1203594102,4.57399,3.09983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.97716,-2.969,,,,,,,,jet,Event_1203594102,4.24415,0.101787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.292097,0.642229,,,,,,,,jet,Event_1203594102,3.97512,1.28277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1.88653,1.07222,,,,,,,,jet,Event_1203594102,3.85827,2.84069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.668252,-0.324418,,,,,,,,jet,Event_1203594102,3.80073,0.94736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-3.81762,0.240499,,,,,,,,jet,Event_1203594102,3.51912,3.09764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.23516,-2.46285,,,,,,,,jet,Event_1203594102,3.48143,0.21314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1.86452,-2.98873,,,,,,,,jet,Event_1203594102,3.19359,2.8341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-2.1619,0.112456,,,,,,,,jet,Event_1203594102,3.11585,2.91239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.8533,-1.33245,1.91092,-1.0,,,,,,,tau,Event_1203594102,,,0.0,0.0,1.09197,0.0,0.0424103,0.0424103,0.0424103,0.0,,-999.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.58189,-1.45101,-0.961732,-1.0,,,,,,,tau,Event_1203594102,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.12971,-1.05423,-2.0371,1.0,,,,,,,tau,Event_1203594102,,,0.566242,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.43253,-0.742557,-2.63008,1.0,,,,,,,tau,Event_1203594102,,,1.26129,0.0,0.763651,0.0,0.455663,0.455663,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.850159,1.36952,-1.16893,1.0,,,,,,,tau,Event_1203594102,,,1.37719,0.0,1.31544,0.0,4.16106,2.46458,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.41241,-0.822372,-1.56506,1.0,,,,,,,tau,Event_1203594102,,,0.566242,1.11627,0.0,1.0,0.0,0.0,0.0,0.691112,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.1528,-0.145654,-2.12755,-1.0,,,,,,,tau,Event_1203594102,,,2.11428,0.0,0.90339,0.313332,0.0223097,0.0223097,0.0,0.0101801,,-999.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.02982,0.17864,2.84363,1.0,,,,,,,tau,Event_1203594102,,,3.2414,0.0,1.16162,0.422665,0.383087,0.383087,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
