pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id
0.839089,-0.845274,0.0325422,1.0,0.00070449,0.00101143,-0.0856774,0.724765,0.0235938,-0.688592,track,652620608
0.839978,1.65615,0.0568016,-1.0,0.000717966,0.000602381,-0.0882155,0.367732,0.0209102,0.929697,track,652620608
12.3551,0.654215,0.155975,-1.0,0.000725042,0.000589131,-0.0475924,0.808568,0.127149,0.574501,track,652620608
0.857994,-1.17685,0.11032,-1.0,0.000706374,0.000730665,-0.0678541,0.559579,0.0619843,-0.826456,track,652620608
1.91051,0.791522,0.176024,-1.0,0.000715092,0.000648281,-0.0475642,0.740287,0.131671,0.65927,track,652620608
1.08494,-2.10902,0.177637,-1.0,0.000702572,0.000763524,0.0534541,0.235428,0.0422662,-0.970972,track,652620608
1.66435,0.870228,0.297601,1.0,0.000712996,0.000641867,-0.0477223,0.681352,0.208977,0.70149,track,652620608
0.826727,-1.62927,0.247241,-1.0,0.000693853,0.000723288,-0.0473446,0.366143,0.0924166,-0.925958,track,652620608
1.10036,0.771596,0.365224,1.0,0.00075926,0.000516007,-0.047434,0.711519,0.27207,0.647857,track,652620608
2.02548,-0.43541,0.48041,-1.0,0.00074841,0.000576043,0.0538296,0.808909,0.421549,-0.409833,track,652620608
1.46221,1.63126,0.527288,1.0,0.000706627,0.000645764,-0.00159202,0.325735,0.189669,0.926241,track,652620608
1.07847,1.6967,0.814925,-1.0,0.000685067,0.000649168,-0.0836582,0.243268,0.258076,0.934996,track,652620608
0.837505,-0.730109,0.987073,1.0,0.000665842,0.000654351,0.0926787,0.431052,0.652611,-0.623132,track,652620608
1.04007,-1.90214,0.930643,-1.0,0.000780252,0.00057479,0.09246,0.174413,0.234179,-0.956421,track,652620608
0.971641,-0.606966,0.955801,-1.0,0.000821239,0.000547035,0.0451819,0.484865,0.686407,-0.541988,track,652620608
1.03298,-0.899817,0.979253,-1.0,0.000915186,0.000486618,-0.00186434,0.389171,0.579302,-0.716209,track,652620608
0.849399,0.79118,1.04592,-1.0,0.000590995,0.000691885,-0.0772298,0.376867,0.650837,0.659077,track,652620608
1.40222,-0.470582,1.1568,-1.0,0.000709279,0.000622304,-0.0878323,0.3615,0.822731,-0.438669,track,652620608
0.847807,-1.55686,1.24203,1.0,0.000678923,0.000631114,-0.0476398,0.130331,0.38204,-0.91491,track,652620608
1.18908,1.29312,1.23279,1.0,0.000750219,0.000605613,-0.0015108,0.169248,0.481514,0.859941,track,652620608
1.21611,-1.76041,1.18812,-1.0,0.000851953,0.000563973,-0.0477961,0.124743,0.309903,-0.942549,track,652620608
0.92812,-0.476271,1.25574,-1.0,0.000695968,0.000625666,-0.0833567,0.277764,0.852276,-0.443253,track,652620608
0.952477,1.41716,1.29014,-1.0,0.000700461,0.000623556,-0.0833113,0.126832,0.439983,0.889004,track,652620608
0.764474,-1.15417,1.41044,-1.0,0.000867178,0.000594446,-0.0840589,0.091588,0.566248,-0.819131,track,652620608
2.28848,-1.78719,1.68658,-1.0,0.00071145,0.000607249,0.0926495,-0.0376313,0.323547,-0.945463,track,652620608
1.13121,-0.957437,1.67716,-1.0,0.000726892,0.000614774,-0.00185188,-0.0710363,0.665364,-0.743132,track,652620608
1.54248,1.2661,1.7467,-1.0,0.000758651,0.000623616,-0.0476623,-0.0914082,0.514281,0.852736,track,652620608
1.85468,-0.145685,1.77421,-1.0,0.000752657,0.000617051,0.0452006,-0.199888,0.969081,-0.144663,track,652620608
1.25962,-0.216978,1.76612,-1.0,0.000757869,0.00061789,0.0450991,-0.1896,0.958338,-0.213636,track,652620608
0.775049,0.890757,1.78171,-1.0,0.000794534,0.000625594,0.053999,-0.147051,0.68685,0.711767,track,652620608
1.89362,0.842259,1.94853,-1.0,0.000687324,0.000606175,-0.0772491,-0.267999,0.675428,0.687004,track,652620608
0.943178,1.3995,2.00752,-1.0,0.000863628,0.000679469,-0.00288062,-0.196734,0.421472,0.885244,track,652620608
1.37519,-1.6323,2.02698,-1.0,0.000743633,0.00062604,-0.0256399,-0.165887,0.338063,-0.926388,track,652620608
0.763087,-0.330892,2.29556,1.0,0.000637667,0.000537391,-0.00179869,-0.628248,0.709463,-0.319322,track,652620608
1.3161,-0.625465,2.37809,1.0,0.000754431,0.00063748,0.0537499,-0.60098,0.575226,-0.554922,track,652620608
