pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
1.56665,-1.79516,2.68098,1.0,0.000793741,0.000752175,0.0802068,muon,644235898
1.43234,-1.46479,2.93496,1.0,0.000770243,0.000878901,-0.0499849,muon,644235898
2.22076,2.34569,1.69997,1.0,0.000926474,0.000644949,0.0538526,muon,644235898
34.6685,1.46409,-1.19172,0.0,0.000726319,0.000623038,0.015756,photon,272716662
10.0463,1.38311,-1.19962,0.0,0.000726319,0.000623038,0.015756,photon,272716662
1.08262,2.24048,1.43613,-1.0,0.000583759,0.000640951,-0.0346268,muon,644202002
29.3626,0.72165,-2.68605,-1.0,0.00071998,0.000610768,0.0766135,electron,805047482
37.7227,1.1153,1.61427,-1.0,0.000715764,0.000650035,0.0766355,electron,805047482
28.055,0.620279,-2.20474,1.0,0.000727164,0.000630765,0.0766523,electron,805047482
36.5958,1.18924,-1.41466,1.0,0.000797961,0.000664676,0.0765882,electron,805047482
36.935,1.11886,1.62175,0.0,0.000710483,0.000618437,0.0766403,photon,805047482
34.7229,1.18942,-1.43582,0.0,0.000710483,0.000618437,0.0766403,photon,805047482
29.0283,0.72298,-2.65721,0.0,0.000710483,0.000618437,0.0766403,photon,805047482
27.6269,0.621179,-2.2338,0.0,0.000710483,0.000618437,0.0766403,photon,805047482
1.16092,-2.07831,2.63655,-1.0,0.000804558,0.000823157,0.0477569,muon,805047482
160.531,-1.25777,0.559245,1.0,0.000720662,0.000592475,0.0305839,electron,201058426
156.635,-1.27158,0.55026,0.0,0.000721265,0.000615014,0.0306408,photon,201058426
1.0698,-2.06097,-1.53395,-1.0,0.00107126,0.000627987,0.044242,muon,201058426
1.56216,-2.19882,-1.20544,-1.0,0.00109778,0.000769079,-0.0326195,muon,201058426
1.22122,-1.73751,0.228194,1.0,0.000727944,0.000492759,-0.0837562,muon,201058426
2.27648,-0.601889,-2.2423,-1.0,0.000671958,0.000644244,0.0136706,electron,200766002
