pos_1_x,pos_1_y,pos_1_z,dir_1_x,dir_1_y,dir_1_z,pos_2_x,pos_2_y,pos_2_z,dir_2_x,dir_2_y,dir_2_z
0.00072618,0.000630058,0.0600027,-0.898536,0.0178461,-1.66845,-0.753826,-1.02856,-2.76293,0.271515,-0.797345,-1.6243
0.000692481,0.000807879,0.0593746,-0.890121,-0.156181,-3.31871,-0.626827,-0.551964,-3.16813,-0.262255,-0.806909,-3.13794
0.000731045,0.000590594,-0.00911969,-0.769891,-0.249936,1.20312,-0.789122,1.00173,2.5418,0.398929,0.601338,1.13351
0.000695793,0.000690456,-0.0467816,-1.21343,-0.409088,2.54275,-1.23775,0.306861,2.61448,-0.924493,0.950599,2.63571
0.000704164,0.000662239,0.00130176,-0.720823,-0.306541,-0.316294,0.120347,-1.26953,-0.692406,0.729118,-0.139208,-0.304373
0.000699822,0.000636856,-0.0469593,-2.35157,-3.20525,2.80692,-0.930611,-0.871874,0.860513,-3.32009,-2.11486,2.78481
0.000772033,0.000587037,-0.0470418,-0.485374,-0.719717,1.87544,0.460851,-1.13422,3.16813,0.714401,-0.136678,1.6501
0.000767464,0.000608448,0.00123272,-0.899059,-3.34676,0.204902,-0.582556,-1.13438,0.0735431,-2.18545,-2.65947,0.1902
0.000692219,0.00062952,0.00117649,-0.311383,-1.04653,0.34262,0.555007,-1.14811,0.438363,0.994504,-0.393375,0.33423
0.000704318,0.000624425,0.00117274,-0.622529,-2.93413,-0.692065,0.0493024,-1.27427,-0.298824,0.835203,-2.85693,-0.69427
0.000734784,0.000618703,0.00107963,-0.17924,-1.15415,0.0997821,-0.945742,-0.855434,0.117832,-1.1434,-0.0564588,0.0966704
0.000731557,0.00061878,0.00109287,-0.54009,-2.7171,-0.59711,0.0909078,-1.27198,-0.277717,0.914246,-2.58856,-0.593659
0.000651961,0.000635061,0.0011565,-0.278877,-1.35778,-0.208258,0.444856,-1.19511,-0.200935,1.08134,-0.82726,-0.204882
