energy,et,eta,phi,pos_x,pos_y,pos_z,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03
87.3475,45.4814,-1.2698,2.41289,0.000732533,0.000589213,0.0316758,0.0108456,0.0108456,0,32.0444,43.2826,39.3432,47.5625,20.7541,0.0111226,0.0113111,0.673732,0.910015,0.469421,7.61738,3.33465,3.33465,0,6.58099,3.22219,3,2,6.20064,1.26276,1.26276,0,6.58099,3.22219,3,2
145.426,41.9101,-1.91584,-1.07443,0.000732533,0.000589213,0.0316758,0.0170299,0.0170299,0,18.8908,40.4728,52.1948,89.751,13.3039,0.0226645,0.0356998,0.21048,0.450946,0.424143,3.23307,5.75816,5.51807,0.240088,6.33414,6.33414,2,2,3.10512,3.85617,3.85617,0,6.33414,6.33414,2,2
