energy,et,eta,phi,pos_x,pos_y,pos_z,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03
264.26,214.379,0.669589,-2.6768,0.000688285,0.000618424,-0.080528,0.462183,0.462183,0,85.8088,135.296,123.368,195.055,53.0771,0.0146357,0.0148939,0.439921,0.693629,0.467574,41.533,21.6765,21.6765,0,34.5006,21.0557,6,5,34.8247,15.4383,15.4383,0,34.5006,21.0557,6,5
129.061,116.004,0.470117,0.498331,0.000688285,0.000618424,-0.080528,1.62149,1.62149,0,86.2024,114.285,116.811,124.383,62.2517,0.0110645,0.0111241,0.693038,0.918808,0.900644,16.3268,18.8495,18.8495,0,39.8745,39.8745,6,6,13.4767,18.0879,18.0879,0,38.6668,38.6668,5,5
11.956,10.6489,0.490551,-2.65543,0.000688285,0.000618424,-0.080528,0.286311,0.286311,0,6.89076,7.92967,7.51401,8.76241,4.79313,0.0136544,0.0118736,0.7864,0.904964,0.633107,274.012,118.541,118.541,0,67.02,67.02,7,7,252.728,99.8248,99.8248,0,66.5899,66.5899,6,6
60.5454,16.6992,1.96159,2.47684,0.000688285,0.000618424,-0.080528,0.0602131,0.0602131,0,28.5126,46.2147,46.1013,49.6643,23.5626,0.0217456,0.0329045,0.574106,0.93054,0.839408,2.66809,1.55998,1.38482,0.175156,0,0,0,0,1.88033,0.315642,0.315642,0,0,0,0,0
