et,eta,theta,phi
27.4624,-0.28448,1.85151,1.55115
21.1004,2.83705,0.117062,-3.13446
21.2552,1.60184,0.397724,-1.39909
19.7494,3.24274,0.078074,0.642343
19.0907,3.98327,0.0372448,1.88066
20.6593,-0.645254,2.17544,-0.755374
18.8413,3.95465,0.0383262,-2.65677
18.2749,-3.4878,3.08048,2.84251
18.5033,-1.6679,2.76869,3.1217
16.3362,3.99793,0.0367032,-1.37713
17.8246,-0.0755449,1.64627,2.90073
16.1356,-2.77209,3.01669,0.731346
15.9983,2.9262,0.107098,-1.0446
15.825,-1.74227,2.79486,-1.03206
15.3343,2.48027,0.167051,2.07779
17.0146,0.172925,1.39873,-1.92481
14.5545,-2.70037,3.00743,1.98132
13.9826,-4.27634,3.11381,0.224381
13.9244,-1.64815,2.76143,-1.93183
13.5737,-3.98719,3.10449,1.66274
13.9197,-1.26673,2.59233,0.98503
12.5449,1.83733,0.315831,-2.63585
12.3421,-3.14157,3.05522,-1.53969
11.6102,-4.16641,3.11058,-0.851416
10.9249,0.592744,1.00999,-0.655287
10.0793,-2.9702,3.0391,-0.286302
10.1469,1.57319,0.408967,1.19856
9.74921,-4.60245,3.12154,-1.8925
9.09535,3.84839,0.0426216,-0.258672
9.78547,0.341484,1.23576,0.640899
8.44025,4.62056,0.019694,1.03983
8.22245,-2.75003,3.01392,-2.76448
7.76225,-3.85747,3.09936,-2.44407
8.06477,0.642742,0.968224,1.73081
7.57901,4.0488,0.0348832,2.72158
7.62904,1.91203,0.293435,-0.365219
7.0022,1.0375,0.681072,-2.95415
6.64614,-1.91229,2.84823,0.44458
6.08284,2.60426,0.147647,-2.2286
5.60461,-1.56062,2.7276,2.03615
5.52885,-4.74929,3.12428,2.80849
5.31839,4.78755,0.0166653,-0.781286
5.14492,-0.794469,2.29286,2.59043
4.69305,4.89359,0.0149886,3.11043
4.73265,-0.641238,2.17213,-2.67337
3.73053,2.51971,0.16062,1.13801
3.64149,1.43492,0.46756,2.47715
