energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
87.477,1.3482,-0.0864355,1.93009,1.15454,-0.0640242,undefined,0.0206785,0.0507091,84.9328,0
36.9374,1.3475,-0.180145,1.76111,1.07566,-0.1329,undefined,0.0148643,0.049719,36.3096,0
23.6205,0.868619,1.03632,1.18688,0.79223,0.873206,undefined,0.0172071,0.0997313,22.2436,0
5.67852,1.11066,0.771643,1.3574,0.88398,0.607199,undefined,0.0145884,0.0666506,5.61896,0
6.17018,-0.170096,-1.3507,1.7727,1.07976,-1.69607,undefined,0.0218598,0.0872713,5.97694,0
3.81968,1.07836,0.83921,0.557378,0.397368,0.661323,undefined,0.0143502,0.0109595,3.85145,0
3.48069,-0.680604,1.15822,-0.144368,-0.10726,2.10207,undefined,0.0110007,0.137086,3.47423,0
3.38611,1.15014,0.736168,0.248761,0.181175,0.569362,undefined,0.0111485,0.00743256,3.39935,0
3.02389,-0.438011,1.27951,-0.295842,-0.217045,1.90062,undefined,0.0189476,0.110133,3.02631,0
3.441,0.0692103,1.35475,-1.11705,-0.750889,1.51975,undefined,0.0207799,0.0381046,3.4321,0
2.41579,0.439262,1.27644,-0.0473725,-0.035086,1.23936,undefined,0.0129418,0.0999029,2.4214,0
2.49053,-0.160353,-1.34576,-0.641291,-0.457097,-1.68939,undefined,0.00976042,0.0655099,2.46623,0
3.77472,1.05572,0.838818,-2.07311,-1.21537,0.671408,undefined,0.0108534,0.0109312,3.74484,0
1.54441,-1.29735,0.409663,-0.0125935,-0.00925643,2.83573,undefined,0.00838306,0.00124302,1.56165,0
1.55104,-0.80053,1.10018,-0.228837,-0.167405,2.19983,undefined,0.00729128,0.0111851,1.56225,0
1.53862,-0.438341,-1.28912,-0.149401,-0.109505,-1.89856,undefined,0.00843439,0.00698695,1.53577,0
1.6556,1.30726,0.379454,0.68885,0.486621,0.282504,undefined,0.00840438,0.00773668,1.66847,0
