energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
27.012,-0.418796,1.30823,0.386,0.277436,1.88061,undefined,0.0127222,0.051585,26.7153,0
16.4177,-0.388332,1.31764,0.251663,0.182195,1.8574,undefined,0.0190902,0.0473308,16.2201,0
15.4319,1.15367,0.721056,0.83133,0.578285,0.558605,undefined,0.0161062,0.0496443,15.166,0
4.23635,-0.310251,1.31968,0.180981,0.133107,1.8017,undefined,0.00728603,0.0823538,4.23872,0
6.69551,-1.16972,0.663371,-1.87312,-1.13387,2.6257,undefined,0.015959,0.0637638,6.42849,0
3.85687,0.920223,1.00733,0.79582,0.554439,0.830557,undefined,0.0189363,0.0197786,3.89903,0
2.46348,0.556737,1.23206,0.381903,0.278842,1.14639,undefined,0.0152346,0.0655696,2.45658,0
2.35997,-1.32663,0.317526,-1.5905,-0.994007,2.90666,undefined,0.0185669,0.0160207,2.37561,0
1.17252,-0.901318,-1.01227,-0.848419,-0.59096,-2.29828,undefined,0.00261279,0.00218987,1.18853,0
