et,eta,theta,phi
261.394,0.0212101,1.54959,-2.24724
234.556,0.507824,1.08349,1.01182
36.7736,-3.27367,3.06589,0.817233
35.5633,-1.48201,2.69482,-1.19276
31.9325,2.65233,0.140741,-1.37671
33.1932,-0.27335,1.8408,2.94578
24.2677,1.08925,0.649137,-0.180225
22.835,-2.67106,3.00346,-1.33278
23.8386,-0.745087,2.2552,1.61708
23.3836,1.21416,0.57733,-1.50027
22.8331,0.378451,1.20107,1.95334
21.2147,-2.72903,3.01121,-0.244643
21.0009,1.96031,0.279791,0.658356
20.7417,-2.01835,2.87739,0.65675
21.5117,-0.667016,2.19323,0.178868
20.2932,-1.53087,2.71547,3.04932
19.8273,-2.93637,3.03558,-3.12916
21.7564,-0.207896,1.77721,-1.13672
19.2596,-3.77995,3.09595,-1.76083
19.158,2.82812,0.11811,-2.71288
17.7073,1.8179,0.321923,1.81463
17.4685,1.18888,0.591273,2.91827
16.7196,-4.3185,3.11495,1.38615
16.1853,1.64563,0.381102,-2.32074
15.2699,-3.11896,3.05324,1.89753
14.7608,2.9328,0.106395,0.740882
13.2452,3.99616,0.0367681,0.507393
13.0375,-4.03639,3.10627,2.54885
11.9603,-4.19352,3.11141,-0.00865528
11.7302,4.10252,0.033059,1.83677
11.2579,2.49562,0.164518,2.73145
11.0817,-2.23817,2.92909,2.24968
10.743,3.92123,0.0396282,-3.13998
10.2797,-1.1341,2.51908,-2.28351
9.58239,3.5333,0.0584002,-1.52051
9.37823,2.69143,0.135361,-0.358826
8.98167,-3.24623,3.06379,-2.41072
8.52342,4.25163,0.0284802,-0.474925
8.30725,-4.52943,3.12002,-2.80494
7.77798,-2.22131,2.9255,-2.47335
7.4033,4.83727,0.0158569,-2.25882
7.51272,-1.60983,2.74695,1.3805
5.37177,1.80389,0.326385,-0.630173
5.36236,-1.62196,2.75159,-0.269634
4.20232,-4.80604,3.12523,-1.67599
4.19849,-4.9759,3.12779,-0.644182
4.07852,4.95773,0.0140575,1.56414
3.08461,-3.75292,3.0947,-0.893021
3.08126,3.06385,0.0933469,1.58668
