et,eta,theta,phi
321.087,-0.960168,2.41036,-2.91976
266.662,0.837472,0.816923,0.413273
36.8079,-1.68328,2.77425,0.0791565
34.0895,-1.81205,2.81781,-1.31898
17.1407,0.0243338,1.54646,-0.677438
10.4055,-2.01493,2.8765,-2.53535
10.4876,-0.684953,2.20773,0.483438
8.9221,1.01903,0.692781,-2.31339
7.55567,3.79454,0.0449791,2.93984
8.16172,-0.231681,1.80043,2.51583
6.94926,-3.49108,3.08068,0.0444191
5.69292,2.9808,0.101418,1.25218
5.36936,-1.24535,2.58107,1.14173
5.12076,1.90909,0.294288,1.40752
5.05351,0.504734,1.08622,1.38441
4.36319,2.08112,0.248298,-1.41235
4.19489,3.81219,0.0441923,-0.906816
3.83292,2.31454,0.196983,0.384812
3.83264,1.00783,0.699967,-0.720905
3.3983,-4.36899,3.11627,-2.16629
3.38436,-2.22724,2.92677,2.8158
3.06601,3.44668,0.063681,-2.01582
3.04755,4.67656,0.0186214,-2.67152
