pos_x,pos_y,pos_z
-0.0460634,-0.0170312,0.260996
-0.151313,-0.0513682,0.728981
-0.259258,-0.0800622,1.19612
-0.370055,-0.103175,1.66236
-0.484067,-0.120845,2.12762
-0.601963,-0.133306,2.59169
-0.724881,-0.140914,3.05428
-0.85468,-0.144131,3.51487
-0.994344,-0.143554,3.97262
-1.1487,-0.140156,4.4262
-1.32567,-0.135333,4.8734
-1.50538,-0.123187,5.3197
-1.66533,-0.0995438,5.77138
-1.81093,-0.0675053,6.22696
-1.94568,-0.0295329,6.6855
-2.07181,0.0115555,7.1464
-2.19112,0.0513533,7.60925
-2.30576,0.0801246,8.07358
-2.41716,0.106557,8.53886
-2.5265,0.125212,9.00484
-2.63485,0.130658,9.47132
