pos_x,pos_y,pos_z
0.0199286,-0.0405828,0.0864896
0.140209,-0.314057,0.556837
0.249387,-0.591161,1.0261
0.347264,-0.871217,1.49467
0.4336,-1.15337,1.96303
0.508054,-1.43651,2.43179
0.570058,-1.71916,2.90182
0.618694,-1.99919,3.37432
0.652506,-2.27351,3.8511
0.669461,-2.53729,4.33493
0.666819,-2.78275,4.83024
0.652622,-3.01873,5.3316
0.638516,-3.26017,5.83
0.629868,-3.50511,6.32606
0.63002,-3.75256,6.82007
0.634962,-4.00266,7.31226
0.650665,-4.25393,7.80296
0.677256,-4.50604,8.29234
0.706944,-4.76008,8.78043
0.746885,-5.01581,9.26679
0.790031,-5.27317,9.752
