et,eta,theta,phi
123.392,-1.30803,2.61351,2.64961
114.542,1.42772,0.470817,-0.558024
33.3661,1.2465,0.559918,2.48657
29.5533,-3.08127,3.04985,2.54833
26.4289,-3.10135,3.05168,0.840411
27.5427,-0.907911,2.37478,-0.212167
24.9943,1.5263,0.428018,0.681154
26.6944,0.0818792,1.48901,1.06266
23.5427,-2.76234,3.01547,-0.324998
21.3639,-1.52034,2.71109,0.874914
20.4498,2.52387,0.159955,-0.259403
21.2308,-1.00866,2.44216,-2.03848
22.2003,-0.285515,1.85251,2.3453
19.7103,-4.15891,3.11035,0.499363
19.9145,1.54122,0.421869,-2.92886
19.3935,-4.15532,3.11023,-2.78714
19.2169,3.29311,0.074242,2.42062
18.3529,-1.82113,2.82069,-1.38148
19.4124,-0.100835,1.67146,-1.10477
16.909,3.04125,0.0954781,-2.4555
15.9939,-3.08565,3.05026,-2.62731
15.5055,-4.14125,3.10979,1.62862
14.414,2.21391,0.217682,1.72896
14.3406,1.3465,0.509018,1.5152
13.4534,-3.30643,3.06833,-1.57144
13.1282,2.14714,0.232582,-2.0408
13.3309,-0.295791,1.86237,0.351533
14.1285,0.430629,1.15289,-2.77341
12.6373,-1.61724,2.74979,1.80948
12.4731,3.49925,0.060422,1.431
11.8652,-4.36399,3.11614,-1.57547
11.8172,-2.10562,2.89924,-2.32267
11.0497,3.98996,0.0369967,-1.56039
10.9718,3.07348,0.0924537,-1.2195
11.3269,0.550667,1.04602,-0.128214
9.6572,4.31882,0.0266296,2.46214
9.98562,0.924952,0.755058,-1.41809
8.33888,-3.8357,3.09843,-0.470268
7.96224,-2.1284,2.90465,2.89868
7.02198,3.79555,0.0449336,-0.531879
6.81428,4.40705,0.0243811,-2.73327
6.77787,-1.81998,2.82033,-0.331806
5.97211,-0.98073,2.42399,-2.86936
5.58278,-2.29419,2.94059,0.741597
5.28476,3.05613,0.0940695,0.368285
4.90076,-4.41916,3.11751,2.4307
4.72342,-4.85346,3.12599,-0.568119
4.11098,4.38759,0.02486,0.149736
3.6502,4.91536,0.014666,-1.5255
3.59047,2.13611,0.235136,2.53734
3.20085,4.88156,0.01517,1.2219
