et,eta,theta,phi
69.9277,2.71326,0.132446,0.0579221
54.8926,1.37784,0.493953,2.83997
34.0871,1.72173,0.353776,-2.20068
9.66983,-1.06593,2.47822,-1.11507
7.83787,0.999606,0.705282,-0.240567
7.03223,-2.00251,2.87322,-0.304517
7.31719,0.294219,1.28073,2.67913
6.71268,3.10239,0.0898233,3.09064
6.12563,-3.67639,3.09097,1.91891
6.08492,4.65034,0.0191161,2.30466
6.32602,0.205018,1.3672,1.70613
5.75786,1.96505,0.278485,0.908882
5.52243,-3.0573,3.04763,-1.33497
4.86909,-3.28948,3.06708,-0.108749
4.79999,2.36867,0.186666,-1.4224
4.61871,3.82282,0.0437252,0.326774
4.46883,3.68306,0.0502814,-1.13789
4.3181,-2.90647,3.03236,-2.4602
4.63416,-0.199294,1.76878,-1.66101
4.14135,4.48848,0.0224744,-0.662516
4.21576,0.929232,0.752129,-1.95073
4.05262,-4.04506,3.10658,-2.76645
3.86074,-1.72325,2.78834,2.56648
3.78898,-1.75981,2.80078,-2.30131
3.10084,4.28719,0.0274851,-2.92708
