pos_x,pos_y,pos_z
0.00833997,-0.049928,0.0442778
0.0595633,-0.405778,-0.104747
0.106886,-0.761973,-0.253678
0.150322,-1.1185,-0.402545
0.189884,-1.47534,-0.551385
0.225582,-1.83248,-0.700247
0.257412,-2.18988,-0.849198
0.285372,-2.54751,-0.998334
0.309493,-2.9053,-1.1478
0.329961,-3.26314,-1.29782
0.348993,-3.62072,-1.44872
0.368482,-3.97803,-1.60019
0.388056,-4.33538,-1.75156
0.407662,-4.69277,-1.90283
0.428451,-5.0501,-2.054
0.449564,-5.40745,-2.20507
0.471539,-5.76482,-2.35594
0.494789,-6.12217,-2.50661
0.518282,-6.47955,-2.65716
0.542772,-6.8369,-2.80761
0.56841,-7.1942,-2.95795
0.0269203,0.0320614,0.0513444
0.255903,0.310511,-0.0729436
0.481629,0.5913,-0.197142
0.704094,0.874424,-0.321264
0.92329,1.15988,-0.445322
1.13919,1.4477,-0.569331
1.35172,1.7379,-0.693302
1.5608,2.03055,-0.817249
1.76629,2.32574,-0.94119
1.96808,2.62355,-1.06514
2.16771,2.92287,-1.1891
2.36677,3.22258,-1.3131
2.56559,3.52243,-1.43715
2.76433,3.82233,-1.56125
2.96411,4.12157,-1.68513
3.16424,4.42059,-1.80899
3.36514,4.71886,-1.93331
3.56699,5.01616,-2.05836
3.76906,5.31323,-2.18355
3.97192,5.60962,-2.30905
4.17566,5.90527,-2.43484
