et,eta,theta,phi
17.5643,1.51022,0.434745,-0.935616
15.874,3.06514,0.0932274,0.363497
15.6846,1.23532,0.565885,1.97788
15.2513,0.436005,1.14798,-1.62745
14.3289,-1.14102,2.52311,1.95338
13.7603,2.05783,0.254085,1.08854
13.8247,0.232261,1.3406,-2.71759
12.5044,3.07084,0.0926975,-0.886919
12.6394,0.864218,0.797602,0.196183
12.0257,4.09715,0.0332369,-1.58227
11.7422,1.81248,0.323641,-2.9445
11.9009,-1.08228,2.48823,-2.88782
11.3039,4.14974,0.0315345,1.08138
9.57341,-4.22602,3.11237,0.369951
9.36773,3.81999,0.0438492,2.41742
9.63507,-1.25308,2.58516,-1.09724
8.94853,4.41152,0.0242723,-2.65372
8.62162,2.90007,0.109928,1.83518
8.41528,-2.30736,2.9432,-1.72647
8.01115,-4.05269,3.10685,-0.775272
7.40433,3.04368,0.0952461,3.05186
6.71738,3.16604,0.0842905,-2.00098
6.47829,-3.66872,3.09059,2.34927
6.08189,-1.22199,2.56852,0.850697
5.70636,-3.20834,3.06079,3.05827
5.2536,-2.6834,3.00514,2.12105
5.21108,-4.67803,3.123,-1.79442
4.73936,-3.74999,3.09457,1.26279
4.64261,1.91447,0.292732,-0.0624802
4.36177,4.06652,0.0342705,-0.297962
4.34922,-1.5371,2.71803,-0.0155969
4.05516,-3.19328,3.05956,-0.0798484
3.54158,-2.05527,2.88686,1.62771
3.50184,-4.68659,3.12316,-3.09597
3.35902,-3.90014,3.10112,-2.55843
3.31066,-4.84942,3.12593,1.26295
3.15881,1.20344,0.583208,-2.04089
3.04966,-1.44916,2.68041,-1.94055
