isValid,isFake,pos_x,pos_y,pos_z,xError,yError,zError,chi2,ndof
1,0,0.000736799,0.000586444,0.0952994,2.12951e-05,1.66905e-05,2.12606e-05,67.3667,99.723
1,0,0.000766418,0.000593119,-0.00118956,1.75497e-05,1.57873e-05,1.97698e-05,108.232,137.451
1,0,0.000723858,0.000635391,-0.0193854,2.46552e-05,2.67169e-05,3.50285e-05,35.4262,54.8056
1,0,0.000739837,0.000514798,-0.0285644,3.61392e-05,4.00445e-05,3.90909e-05,15.7537,24.0104
1,0,0.000697691,0.000529226,0.0023473,5.59466e-05,7.88151e-05,6.89624e-05,10.5852,18.1044
1,0,0.000690022,0.000651485,-0.0300075,7.01411e-05,6.58202e-05,0.0001084,8.99125,16.002
1,0,0.000585878,0.00072451,-0.0259974,6.29245e-05,9.10324e-05,7.06515e-05,11.0558,20.4349
1,0,0.000718583,0.000653822,0.0155797,9.17906e-05,5.87289e-05,6.00259e-05,6.73588,14.6029
1,0,0.000653082,0.000742842,-0.0115352,0.000192512,0.000167041,0.000198067,6.94258,6.5585
1,0,0.000907741,0.000546707,0.034497,0.000192795,0.000234171,0.000165577,1.66542,6.88538
