et,eta,theta,phi
76.4526,-0.0936356,1.6643,1.36601
65.7739,1.36252,0.501265,-1.81375
27.8524,0.336331,1.24063,2.93679
25.8502,-2.91067,3.03282,2.63109
22.4408,-3.30646,3.06833,1.60667
22.8692,-0.0420864,1.61287,-1.02946
18.0382,-1.23202,2.57394,-1.29424
16.3109,-3.15774,3.0566,-1.54364
15.7595,3.64753,0.0520989,-0.120799
16.8858,0.0182619,1.55254,0.213245
14.452,3.83614,0.0431467,-1.0936
14.006,4.14445,0.0317017,-2.30179
14.0083,1.96364,0.278872,-0.157349
13.7609,1.93256,0.287555,1.43697
12.6179,2.50904,0.162336,-0.695471
11.5992,-4.26582,3.11351,1.27269
11.1149,-2.00844,2.87479,1.21926
10.855,2.7872,0.123031,-3.04207
11.237,-1.14972,2.52813,0.0422958
9.20095,-4.07954,3.10777,-0.195364
9.15308,3.88898,0.0409268,1.55865
8.88118,-2.14467,2.90844,-0.937151
8.69384,-2.90766,3.03249,-0.555274
8.41709,-4.37874,3.11651,2.40577
7.96114,1.86969,0.305936,-3.06932
7.6978,-4.19571,3.11147,-1.92837
6.98827,3.60874,0.0541585,2.82402
6.99193,3.05777,0.0939152,0.971534
6.92146,-1.32319,2.6211,2.52595
6.8873,1.4339,0.46802,2.52804
6.6442,-1.81883,2.81996,-2.60111
6.48749,2.17321,0.226649,-1.77325
6.75539,-0.593426,2.13218,-2.4691
6.50626,0.819639,0.830003,0.116077
6.00864,-2.99369,3.04147,0.601813
6.27032,0.610717,0.994846,1.94414
6.09683,0.84203,0.813605,-2.71758
5.83484,-3.38538,3.07389,-2.80184
5.5242,4.72742,0.0176982,0.740976
4.97087,2.77993,0.123926,2.00278
4.6604,4.91457,0.0146774,-1.16749
4.60645,-1.06268,2.47622,1.06625
4.34279,-4.46653,3.11862,-2.80574
4.26606,4.6619,0.0188965,2.79692
3.68094,-4.22261,3.11227,-1.1341
3.4723,3.00556,0.0989417,-1.73503
3.47536,-2.47372,2.97345,-2.20086
3.07134,-5.04182,3.12867,-1.95132
