path,slot,moduleLabel,moduleType,VID,KEY,id,pt,eta,phi,mass
HLT_PFJet260_v6,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,100,0,136,0.5215,-1.74533,0
HLT_PFJet260_v6,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,101,0,128,1.566,1.39626,0
HLT_PFJet320_v6,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,100,0,136,0.5215,-1.74533,0
HLT_PFJet320_v6,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,101,0,128,1.566,1.39626,0
HLT_Jet370_NoJetID_v14,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,100,0,136,0.5215,-1.74533,0
HLT_Jet370_NoJetID_v14,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,101,0,128,1.566,1.39626,0
HLT_PFJet400_v6,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,100,0,136,0.5215,-1.74533,0
HLT_PFJet400_v6,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,101,0,128,1.566,1.39626,0
HLT_DiPFJetAve260_v7,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,100,0,136,0.5215,-1.74533,0
HLT_DiPFJetAve260_v7,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,101,0,128,1.566,1.39626,0
HLT_DiPFJetAve320_v7,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,100,0,136,0.5215,-1.74533,0
HLT_DiPFJetAve320_v7,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,101,0,128,1.566,1.39626,0
HLT_DiPFJetAve400_v7,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,100,0,136,0.5215,-1.74533,0
HLT_DiPFJetAve400_v7,7,hltL1sL1SingleJet128,HLTLevel1GTSeed,-84,101,0,128,1.566,1.39626,0
HLT_FatDiPFJetMass750_DR1p1_Deta1p5_v7,7,hltL1sL1HTT150OrHTT175OrHTT200,HLTLevel1GTSeed,-89,108,-89,201.5,0,0,0
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,7,hltL1sL1DoubleJetC56Eta1p74WdEta4,HLTLevel1GTSeed,-84,100,0,136,0.5215,-1.74533,0
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,7,hltL1sL1DoubleJetC56Eta1p74WdEta4,HLTLevel1GTSeed,-84,101,0,128,1.566,1.39626,0
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,21,hltSingleBJet80Eta1p7L1FastJet,HLT1CaloJet,86,16,0,147.254,0.648103,-1.70264,24.619
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,21,hltSingleBJet80Eta1p7L1FastJet,HLT1CaloJet,86,17,0,134.787,1.41745,1.35102,26.0433
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,22,hltDoubleBJet70Eta1p7L1FastJet,HLT1CaloJet,86,16,0,147.254,0.648103,-1.70264,24.619
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,22,hltDoubleBJet70Eta1p7L1FastJet,HLT1CaloJet,86,17,0,134.787,1.41745,1.35102,26.0433
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,38,hltBLifetimeL25FilterbbPhiL1FastJetFastPV,HLTCaloJetTag,86,80,0,134.787,1.41745,1.35102,26.0433
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,38,hltBLifetimeL25FilterbbPhiL1FastJetFastPV,HLTCaloJetTag,86,81,0,47.3649,-0.300748,2.30716,13.6098
