et,eta,theta,phi
69.3653,-0.953688,2.40602,0.633883
67.9119,-0.464263,2.01923,-2.03613
18.8677,-0.271286,1.83881,3.06457
15.626,-1.43045,2.67201,1.84495
15.4495,-2.00017,2.8726,-2.84937
14.7365,-3.42263,3.07636,-0.809476
14.304,1.19288,0.589046,-2.4454
13.1193,3.80184,0.0446519,1.83365
13.0806,3.27932,0.0752722,-1.21792
12.6979,1.2888,0.537849,-0.752196
12.2976,2.48703,0.165931,1.64466
12.0731,2.12314,0.238178,2.95677
12.2263,-0.186877,1.75659,-0.805535
10.9431,3.16138,0.0846837,-0.0889667
10.8517,1.73138,0.350447,0.363007
10.6553,-3.67712,3.09101,-2.33047
10.1685,2.50415,0.163127,-2.13636
9.52068,-3.6013,3.08703,0.458753
10.3874,0.293242,1.28167,0.580275
8.47459,-1.95198,2.85949,-1.35183
7.59935,3.6994,0.0494664,-2.64967
7.26521,-4.66313,3.12272,-0.351108
7.21331,-1.87229,2.83644,0.0783482
6.68685,-3.83074,3.09821,2.77465
6.64756,-0.466779,2.02149,2.16265
6.31873,-4.75348,3.12435,1.67304
6.11578,3.08173,0.0916952,2.5625
6.09078,4.1937,0.0301785,-0.99877
5.28523,-2.29924,2.94159,1.25149
5.17626,4.34057,0.0260566,0.866932
4.49264,-2.88367,3.02985,2.1279
3.99676,-2.88831,3.03037,-2.06929
3.96692,3.89482,0.0406885,2.71241
3.83764,-4.98587,3.12793,-2.90625
3.31577,4.40742,0.0243719,-2.00213
3.28137,-3.59599,3.08674,1.58004
3.29882,1.27438,0.545284,1.29797
3.21115,-4.68501,3.12313,0.776695
