pt,charge,rp_x,rp_y,rp_z,phi,eta,calo_energy
1.26001,-1,0.000776846,0.000572839,-0.0431254,1.1469,-2.28308,0
1.97251,1,0.000346506,0.000699462,0.0256107,-1.83177,2.27245,0
1.97548,-1,0.00117572,0.000410293,0.0452534,-1.96244,1.67289,0
1.57343,1,0.000725193,0.000662258,0.0446906,-0.139853,1.48108,0
1.90537,-1,0.000773775,0.000433101,-0.0420864,-2.77353,2.25714,0
2.74402,-1,0.000645058,0.000667972,-0.0425551,-2.36472,2.05292,0
2.34057,1,0.000820259,0.000579981,-0.0688543,-1.786,2.20122,0
1.55218,1,0.000779368,0.00067368,-0.0427925,2.3436,-2.24951,0
0.94283,1,-0.00912258,-0.0325545,0.0932514,-0.288688,2.02048,0
1.61549,-1,0.0166221,-0.0114606,-0.0131129,0.922459,-1.96307,0
