pos_x,pos_y,pos_z
0.0150361,0.0335723,-0.217585
0.0521973,0.133754,-0.731772
0.0829307,0.237882,-1.24463
0.107129,0.345901,-1.75617
0.12469,0.457946,-2.26635
0.135469,0.574431,-2.77508
0.139164,0.696178,-3.28217
0.134976,0.824557,-3.78727
0.12153,0.961751,-4.28984
0.0963815,1.11115,-4.789
0.055271,1.27807,-5.28333
-0.0150708,1.43523,-5.77715
-0.112131,1.55804,-6.27557
-0.22261,1.65514,-6.77799
-0.337699,1.73224,-7.28401
-0.448432,1.79489,-7.79327
-0.546424,1.85027,-8.30505
-0.640663,1.89969,-8.81833
-0.71313,1.95141,-9.33298
-0.779608,2.00274,-9.84821
-0.83589,2.05475,-10.3641
-0.0121835,-0.043792,0.247488
-0.0446593,-0.144077,0.752522
-0.082181,-0.243008,1.25719
-0.12442,-0.340489,1.76154
-0.17096,-0.436504,2.26562
-0.221273,-0.531137,2.76948
-0.274692,-0.6246,3.27317
-0.330426,-0.717214,3.77672
-0.387394,-0.80949,4.28018
-0.444067,-0.90218,4.78361
-0.498146,-0.996342,5.28712
-0.557342,-1.08141,5.7914
-0.62717,-1.15007,6.2969
-0.701517,-1.20763,6.80353
-0.776927,-1.25738,7.31119
-0.850867,-1.3021,7.81977
-0.921215,-1.34517,8.32899
-0.990504,-1.38645,8.83859
-1.04794,-1.43433,9.34855
-1.10304,-1.4836,9.85857
-1.15024,-1.5377,10.3688
