pos_x,pos_y,pos_z
-0.261114,-0.0289191,-1.04285
-0.279891,-0.029471,-1.12144
-0.298672,-0.0297754,-1.20003
-0.317453,-0.0298326,-1.27861
-0.336233,-0.0296432,-1.35718
-0.355009,-0.0292076,-1.43575
-0.37378,-0.0285264,-1.51431
-0.392546,-0.0275998,-1.59287
-0.411308,-0.0264283,-1.67142
-0.430071,-0.0250117,-1.74997
-0.448843,-0.0233491,-1.82851
-0.467613,-0.021444,-1.90705
-0.486356,-0.0193002,-1.98559
-0.505068,-0.0169172,-2.06413
-0.523744,-0.0142955,-2.14267
-0.542381,-0.0114359,-2.22121
-0.560977,-0.00833956,-2.29976
-0.579528,-0.00500772,-2.37832
-0.598032,-0.00144183,-2.45688
-0.616487,0.00235656,-2.53545
-0.63489,0.0063858,-2.61403
