et,eta,theta,phi
153.057,2.47046,0.168691,-0.198906
79.3082,0.265947,1.30793,3.14036
72.4727,-1.04827,2.46727,2.61459
66.5556,-1.21001,2.562,-2.13411
51.0922,1.8862,0.300999,2.35636
29.5891,-2.30546,2.94282,0.635868
26.5671,-1.53704,2.71801,-0.741209
25.4939,-0.200696,1.77016,1.99353
23.0573,-2.05729,2.88737,-2.62591
22.7709,1.21756,0.575476,3.09809
23.5355,0.189035,1.38288,-1.81712
21.1738,1.58407,0.404661,0.736988
20.5315,0.108054,1.46295,0.754616
18.3288,-3.27994,3.06637,-1.27846
17.3854,1.56149,0.413644,-0.651033
17.3785,-0.675468,2.20008,-0.111423
17.5613,0.551938,1.04492,-0.948121
15.6656,2.52391,0.15995,-1.73356
14.748,-2.82551,3.02317,1.61032
14.3073,-3.31019,3.06861,-0.0379916
14.6091,1.03022,0.685665,1.5903
13.5941,-3.05713,3.04762,-2.45885
13.156,-1.43066,2.67211,0.628994
11.4511,3.73786,0.0476009,-0.0162305
11.3894,1.1974,0.586539,-2.10254
9.88579,-2.64562,2.99991,2.59763
9.69194,-4.115,3.10894,1.62016
9.48546,3.3361,0.0711211,1.98247
9.24677,2.50647,0.162751,1.29642
9.05957,4.58354,0.0204365,0.987534
8.11123,3.87493,0.0415055,-2.33509
8.01184,-4.29231,3.11425,-0.521805
6.77113,-4.3341,3.11537,-2.71817
6.70633,-1.7181,2.78656,1.8278
6.56394,0.579777,1.02101,-0.111978
6.24414,-4.03689,3.10629,0.591329
5.65981,-4.32554,3.11514,-1.69749
5.46846,2.86001,0.114411,-2.78679
5.1375,3.56041,0.0568392,-1.08978
4.82926,-2.16202,2.91242,-1.34828
4.45013,-4.17715,3.11091,2.49503
4.39105,3.42059,0.0653629,1.09713
4.40384,-0.790788,2.29009,-2.7929
4.20918,4.13361,0.0320473,1.92079
3.38892,4.75632,0.0171939,-0.697611
3.37244,1.39588,0.485466,0.0441078
3.33256,2.00121,0.268715,-2.58669
3.23868,2.90622,0.109255,2.77811
