et,eta,theta,phi
143.378,-0.146925,1.7172,-3.07208
103.981,-1.91867,2.85007,-0.365671
83.0381,-0.370681,1.93327,0.634712
42.3538,-1.12597,2.51433,-3.13175
29.3149,0.786809,0.854498,-0.81539
22.5274,0.359062,1.21921,1.33577
17.4419,1.75283,0.343157,-1.99856
15.4686,1.32599,0.519099,2.24706
15.1468,-0.776378,2.2792,1.86069
12.2737,-2.28518,2.93878,2.36277
12.5094,-0.0237847,1.59458,-2.20505
12.8469,-0.263241,1.83105,-0.403702
9.58665,-4.04539,3.10659,-2.05659
9.53151,3.15411,0.0853007,-2.5584
8.85439,-2.42976,2.96593,-2.57259
8.84545,-0.375023,1.93733,-1.29898
8.32325,1.06058,0.666667,3.08805
8.14747,2.04146,0.258233,0.907066
7.40208,4.26164,0.0281966,2.62897
7.32433,-3.67412,3.09086,3.02799
6.68058,-1.4512,2.68132,-1.26201
6.34251,2.30037,0.199777,-0.58429
6.18994,-3.83262,3.09829,1.86541
6.09097,-1.32555,2.62227,0.603773
5.89772,3.11651,0.0885651,0.311931
5.569,-3.07578,3.04935,-0.598716
5.35481,4.66715,0.0187975,-0.368954
5.31899,4.03251,0.0354558,1.33587
5.17819,1.54089,0.422003,0.112702
4.86863,2.23544,0.21308,3.13956
4.65233,2.78736,0.123012,1.78568
3.49766,-2.10855,2.89995,0.947766
3.35055,2.79054,0.122623,-1.53226
3.29536,4.08735,0.0335641,-2.09957
3.2829,-3.40039,3.0749,0.873541
