pos_x,pos_y,pos_z
-0.487369,-0.380952,1.04111
-0.640994,-0.519196,1.4185
-0.786536,-0.666457,1.79387
-0.923761,-0.822807,2.16724
-1.05247,-0.988451,2.53856
-1.17249,-1.16383,2.90768
-1.28369,-1.34971,3.27425
-1.38605,-1.5473,3.63768
-1.47977,-1.75855,3.99693
-1.56547,-1.98654,4.35029
-1.64467,-2.23617,4.69486
-1.72415,-2.48192,5.04127
-1.80648,-2.7027,5.39924
-1.89435,-2.90501,5.76471
-1.99178,-3.09168,6.13506
-2.09798,-3.26647,6.50866
-2.20963,-3.43347,6.88448
-2.32412,-3.59555,7.26189
-2.44575,-3.75089,7.64048
-2.58032,-3.89672,8.01988
-2.71728,-4.03978,8.39994
