energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
188.911,1.08752,0.843075,1.38024,0.883534,0.659453,undefined,0.0194401,0.0604934,188.319,0
188.176,-1.06548,-0.824255,2.14772,1.24598,-2.48316,undefined,0.0152787,0.0447983,182.766,0
87.6625,-1.06327,-0.820439,2.27521,1.29783,-2.4844,undefined,0.012953,0.0408086,85.3265,0
30.5613,1.14504,0.743754,1.26809,0.830076,0.576056,undefined,0.0112085,0.0588664,30.0718,0
6.99728,1.08538,0.825281,1.16964,0.777182,0.650098,undefined,0.00619143,0.00749268,6.8646,0
7.21219,-1.11224,-0.735846,1.92214,1.16175,-2.55711,undefined,0.0169781,0.0621797,7.02069,0
3.95565,-1.32747,-0.140389,-2.28854,-1.30811,-3.03623,undefined,0.00838149,0.0458129,3.81613,0
1.88687,1.34686,-0.195783,0.38684,0.280536,-0.144352,undefined,0.00750426,0.00946991,1.90138,0
1.16056,-1.32916,-0.271361,0.127255,0.0936685,-2.9402,undefined,0.0114137,0.00514446,1.15451,0
1.05109,-1.03088,0.883516,-0.258223,-0.189065,2.43302,undefined,0.00261928,0.0025456,1.06549,0
