pos_x,pos_y,pos_z
-0.0430004,0.0167909,0.0206621
-0.398506,0.137566,-0.0305607
-0.754701,0.240564,-0.0811189
-1.11154,0.326285,-0.131215
-1.46896,0.395053,-0.181081
-1.82694,0.446796,-0.231006
-2.18543,0.480926,-0.281375
-2.54437,0.496294,-0.332743
-2.9037,0.491328,-0.385948
-3.26325,0.464482,-0.442289
-3.62243,0.425164,-0.503607
-3.98116,0.385672,-0.567831
-4.33985,0.352109,-0.631031
-4.69862,0.320321,-0.693372
-5.05731,0.295538,-0.754786
-5.41603,0.273303,-0.815441
-5.7747,0.25697,-0.875151
-6.13327,0.248702,-0.933864
-6.49186,0.242593,-0.991984
-6.85034,0.243477,-1.04932
-7.20869,0.252209,-1.1059
-0.0434883,0.0159525,0.0157944
-0.384182,0.139593,-0.0712501
-0.720677,0.271293,-0.157954
-1.05299,0.41098,-0.244396
-1.38114,0.558582,-0.330675
-1.70509,0.714077,-0.416913
-2.02477,0.877507,-0.503279
-2.34008,1.04895,-0.590014
-2.65091,1.22841,-0.677477
-2.95727,1.41558,-0.766225
-3.26169,1.60529,-0.857053
-3.56707,1.79222,-0.949653
-3.87393,1.97614,-1.04276
-4.18135,2.15893,-1.13596
-4.49021,2.339,-1.22921
-4.79981,2.51775,-1.32235
-5.11051,2.69452,-1.41529
-5.42253,2.86898,-1.50794
-5.73505,3.04265,-1.60032
-6.0488,3.2143,-1.69213
-6.36397,3.38363,-1.78334
