energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
48.6014,-1.29715,-0.381282,2.73435,1.45361,-2.85571,undefined,0.0111292,0.0423517,46.3934,0
13.8388,1.31711,0.344359,0.0811616,0.0595817,0.255726,undefined,0.0265493,0.0957206,13.7784,0
4.34898,1.30695,-0.308577,-1.19742,-0.802671,-0.231859,undefined,0.0170481,0.0383124,4.21127,0
3.79021,0.0153925,-1.36609,-1.20345,-0.794592,-1.55953,undefined,0.0133897,0.0129343,3.60094,0
2.6537,1.3416,-0.248153,0.115551,0.0845912,-0.1829,undefined,0.0147887,0.0163604,2.66083,0
2.90693,-0.135507,-1.34504,-1.30609,-0.857234,-1.6712,undefined,0.00946322,0.00452173,2.9275,0
1.93125,-0.897002,-1.02366,0.594325,0.423857,-2.29035,undefined,0.0168576,0.028644,1.9177,0
2.40436,-0.281592,-1.31597,1.53693,0.978343,-1.7816,undefined,0.00683623,0.00722298,2.40247,0
1.54799,0.382002,1.3024,0.101702,0.074862,1.28549,undefined,0.0124669,0.0027315,1.5426,0
1.4384,-0.612689,1.21442,0.218034,0.159614,2.03805,undefined,0.0133307,0.00256565,1.44646,0
