energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
90.5838,-0.853015,1.10152,-0.255898,-0.18266,2.22973,undefined,0.0147711,0.025946,91.0778,0
15.8182,-0.770598,1.11613,-0.359416,-0.261988,2.17506,undefined,0.0176012,0.108325,15.6487,0
10.064,-0.764168,1.13808,-0.181615,-0.132101,2.16211,undefined,0.00937592,0.0250935,9.92145,0
4.74936,-0.965165,0.947597,-0.417611,-0.304045,2.36538,undefined,0.0142093,0.1408,4.72753,0
4.59274,-0.780504,1.12029,-0.490541,-0.351962,2.1793,undefined,0.0134454,0.0123282,4.57198,0
6.14703,1.115,0.750318,-2.43186,-1.35504,0.592328,undefined,0.0158548,0.0165542,6.11681,0
4.50404,-0.701518,-1.15409,2.56787,1.39861,-2.11697,undefined,0.0143767,0.0181682,4.42325,0
3.74234,-1.32255,-0.174965,-2.30523,-1.31491,-3.01006,undefined,0.0143687,0.0682461,3.62594,0
2.53193,-0.86015,-1.04701,1.36451,0.886317,-2.25853,undefined,0.00887783,0.00438151,2.53993,0
1.882,0.351228,-1.29595,1.38988,0.906006,-1.30613,undefined,0.00527353,0.108093,1.87168,0
1.32506,-1.02416,-0.900094,0.595522,0.423953,-2.42058,undefined,0.0117509,0.00651982,1.30971,0
