et,eta,theta,phi
345.637,1.88743,0.300636,-1.08044
305.87,-0.20074,1.7702,2.20497
49.8618,0.91128,0.764475,-2.73699
41.7912,2.07939,0.248723,1.7794
40.5724,-3.0455,3.04652,0.9356
40.0239,2.32098,0.195726,0.621568
34.3487,-1.51985,2.71089,-2.7939
32.7593,-1.53572,2.71747,0.614603
35.0705,0.0882369,1.48267,-0.734222
31.2163,0.942588,0.743049,1.15599
29.3661,-1.01258,2.44468,-1.25771
27.9956,-2.96489,3.03855,2.35704
28.7829,0.990137,0.711442,-1.79723
26.4161,2.42378,0.176711,-2.23664
25.4912,2.74893,0.127818,-0.187048
24.7627,-3.09425,3.05104,-2.58463
23.863,3.53124,0.0585203,0.739404
24.2673,-0.466653,2.02138,0.847822
22.1848,3.05761,0.0939304,2.68255
22.5048,1.60611,0.396075,2.86528
22.0391,3.90934,0.0401023,-0.817315
22.0258,-1.85096,2.82997,-1.84631
22.3067,-0.353165,1.91684,-2.33881
20.7402,-1.22988,2.57278,1.84824
20.0351,1.28106,0.541831,-0.270436
17.4814,-3.0363,3.04564,-1.22045
17.2158,-4.15061,3.11009,1.73835
15.8807,-4.40269,3.11711,3.12367
15.3684,-3.28497,3.06674,-0.201455
13.6806,4.44213,0.0235406,0.665526
13.4993,3.13596,0.0868611,-1.35725
13.2861,3.69803,0.0495346,1.83454
13.6956,-1.18728,2.54943,-0.230021
13.0858,3.89703,0.0405988,-2.15242
12.9647,-4.15207,3.11013,-1.44973
11.3162,-2.16296,2.91263,1.70737
10.8188,4.70515,0.0180967,-3.10823
9.90938,-2.21469,2.92408,-0.121147
9.75261,-4.72472,3.12385,-0.430577
10.294,0.338712,1.23838,1.62104
9.20261,4.57695,0.0205717,1.99535
9.02715,-4.15252,3.11015,0.465481
8.56322,-2.03881,2.88268,2.83139
6.83356,0.682336,0.935973,2.58624
5.72281,0.208336,1.36395,0.186154
5.07012,4.38174,0.0250059,-0.0861819
5.0557,4.77975,0.0167958,-1.35326
4.48351,0.886244,0.78196,-1.02235
4.41423,-3.99256,3.10469,-2.23577
3.96179,-1.94728,2.85818,-1.0401
3.74401,3.83185,0.0433322,2.80226
3.87673,-0.376301,1.93852,3.05644
3.4524,-0.03683,1.60762,-1.5712
3.34305,-4.87323,3.1263,2.2551
3.24247,-4.98019,3.12785,-2.2766
3.21959,-4.89501,3.12663,1.0877
