pos_x,pos_y,pos_z
-0.317629,-0.248045,-0.207451
-0.623655,-0.446674,-0.324089
-0.935196,-0.621255,-0.438491
-1.25192,-0.772719,-0.551126
-1.57368,-0.901286,-0.662353
-1.90051,-1.0063,-0.772437
-2.2327,-1.08606,-0.88158
-2.57069,-1.13818,-0.989936
-2.91506,-1.15957,-1.09759
-3.26538,-1.15291,-1.20418
-3.61888,-1.13566,-1.30739
-3.97255,-1.12254,-1.40732
-4.32385,-1.12267,-1.50632
-4.67356,-1.13137,-1.60489
-5.0206,-1.15433,-1.70285
-5.3647,-1.19366,-1.79964
-5.70596,-1.24883,-1.89538
-6.04353,-1.32142,-1.99172
-6.3796,-1.40032,-2.08881
-6.71421,-1.4889,-2.18436
-7.0455,-1.59866,-2.27685
