et,eta,theta,phi
72.1877,1.98755,0.272364,-2.80553
66.3141,0.139315,1.43193,-0.0296002
55.362,-0.363138,1.92621,0.824749
34.326,1.00198,0.703743,2.77119
32.9086,-1.43803,2.67543,-1.05344
32.4937,1.07994,0.654789,-1.71015
28.8161,-1.56233,2.72828,0.242131
27.5388,-4.11691,3.10901,-2.28364
28.5519,0.763058,0.872551,1.58454
20.7269,2.47583,0.167791,0.569098
18.2169,-2.81922,3.02243,2.7393
17.6691,1.48519,0.445408,0.0131937
14.8759,-1.10357,2.50106,1.46637
15.2468,-0.193796,1.76339,2.89882
12.736,-3.42454,3.07649,-0.347266
12.2267,-3.03743,3.04575,1.43955
12.0513,-4.07255,3.10753,0.757707
12.0093,-2.31832,2.94535,-2.35471
11.3629,-2.95118,3.03713,-1.48853
11.9056,0.0953529,1.47559,-2.18186
11.1446,-1.24752,2.58222,-2.49432
10.54,-4.10926,3.10876,2.10407
10.1654,3.09467,0.0905177,2.59856
10.2261,1.881,0.302546,1.76
9.23636,3.89347,0.0407434,1.62206
9.11273,4.4329,0.0237589,-2.93127
9.42781,0.304295,1.27109,-0.985417
8.42914,2.09748,0.244308,-1.96752
7.64552,3.32306,0.0720535,-2.57841
7.12581,1.85615,0.310037,-0.776008
7.04348,3.58151,0.0556531,0.648732
7.50424,-0.133153,1.70356,1.90382
6.61582,-1.98549,2.86867,1.94372
6.2181,-3.18684,3.05904,-2.75762
6.05728,2.8536,0.115145,-1.12783
5.78764,-2.32434,2.94652,0.74149
5.53415,-1.21504,2.56474,2.46437
5.3457,3.98196,0.0372936,-1.02868
4.57157,3.25678,0.0769866,-0.194706
4.56693,-4.01371,3.10546,3.00365
4.53698,-0.818993,2.31111,-0.350544
4.34904,-5.02553,3.12846,2.54947
4.35463,1.10413,0.640199,-2.61035
4.20504,-2.21881,2.92497,-0.50484
3.88616,-3.10691,3.05217,0.520467
3.86804,-4.86176,3.12612,1.3776
3.84849,-3.91254,3.10162,-1.31715
3.62543,4.44943,0.0233694,0.283408
3.4667,-4.51039,3.11961,-0.227337
3.31108,4.93236,0.0144186,-1.28543
3.18133,2.85859,0.114573,1.60992
