et,eta,theta,phi
225.425,-0.174234,1.74416,2.79315
141.888,2.12713,0.23724,0.00792145
80.9621,1.21995,0.574176,-0.481562
35.0341,2.43326,0.175052,-1.60074
28.4377,0.740891,0.889651,-1.42488
22.6397,-0.197296,1.76682,1.5998
20.4957,1.29225,0.536087,0.957494
18.5811,3.2852,0.0748316,-0.745698
17.674,1.94916,0.282885,-2.93465
17.264,3.42667,0.0649672,2.96994
16.4278,-3.26093,3.06492,0.85655
16.1187,4.09437,0.0333294,1.72315
16.7882,0.705525,0.91743,-2.47631
16.0608,1.43521,0.467429,2.22669
14.6872,-3.26138,3.06496,-2.58658
14.4388,2.58176,0.150995,1.74843
14.1507,3.28068,0.0751701,0.884746
12.6135,-1.05652,2.47241,-1.40665
10.9647,4.15182,0.0314688,-1.51623
10.2545,-2.16839,2.91386,1.60441
10.1848,-3.20534,3.06055,2.17437
10.2338,-1.2426,2.5796,2.17805
9.86487,-1.69158,2.77722,-2.7369
10.1044,-0.0728388,1.64357,-0.252706
8.9242,-4.30011,3.11446,2.95925
8.63298,-2.63873,2.99893,-1.68542
8.04829,4.43034,0.0238198,-2.66545
8.00787,-3.65415,3.08984,-1.50261
7.58653,-4.39051,3.11681,0.599502
7.18887,-4.28664,3.11409,-0.705077
7.27137,-0.583336,2.12361,-2.36641
6.94121,-2.09402,2.89645,-0.532084
7.03681,-1.20211,2.55765,0.582945
6.33313,3.17309,0.0836989,0.195872
5.97339,4.36747,0.0253651,-0.0823834
5.69112,0.328833,1.24773,0.559574
5.02854,2.06397,0.252548,-0.939488
4.99971,-4.69897,3.12338,1.92441
4.99805,4.84657,0.0157103,0.861199
5.15903,-0.275772,1.84314,-1.01892
4.97685,2.88659,0.111417,-2.4339
4.66093,4.70612,0.0180791,2.56134
3.99916,-2.16391,2.91285,2.60698
3.92356,1.51958,0.430817,-1.90064
3.46094,0.884471,0.78321,2.99867
3.05188,2.1437,0.233376,0.975891
