path,slot,moduleLabel,moduleType,VID,KEY,id,pt,eta,phi,mass
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_v5,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon30_CaloIdVL_v14,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_v5,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon36_Photon22_v6,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon36_R9Id85_Photon22_R9Id85_v4,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon36_R9Id85_Photon22_CaloId10_Iso50_v6,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon36_CaloId10_Iso50_Photon22_R9Id85_v6,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon36_CaloId10_Iso50_Photon22_CaloId10_Iso50_v6,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon36_R9Id85_OR_CaloId10_Iso50_Photon22_R9Id85_OR_CaloId10_Iso50_v6,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon36_R9Id85_OR_CaloId10_Iso50_Photon22_v5,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon50_CaloIdVL_v10,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon50_CaloIdVL_IsoL_v17,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_v5,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon75_CaloIdVL_v13,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_v5,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon90_CaloIdVL_v10,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_v5,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_DisplacedPhoton65_CaloIdVL_IsoL_PFMET25_v3,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_DisplacedPhoton65EBOnly_CaloIdVL_IsoL_PFMET30_v3,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_DoublePhoton48_HEVT_v8,7,hltL1sL1SingleEG20orL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_DoublePhoton53_HEVT_v2,7,hltL1sL1SingleEG20orL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_L1SingleEG5_v6,7,hltL1sL1SingleEG5,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele8_CaloIdT_TrkIdVL_v5,7,hltL1sL1SingleEG5,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele8_CaloIdT_TrkIdVL_Jet30_v7,7,hltL1sL1SingleEG5,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele8_CaloIdT_TrkIdVL_Jet30_v7,44,hltEle8CaloIdTTrkIdVLDphiFilter,HLTElectronGenericFilter,82,2,-11,23.9286,0.416425,0.437469,-0.00627566
HLT_Ele8_CaloIdT_TrkIdVL_Jet30_v7,57,hltSingleJet30L1FastJet,HLT1CaloJet,85,3,0,44.2215,0.446816,0.393735,5.51535
HLT_Ele8_CaloIdL_CaloIsoVL_v17,7,hltL1sL1SingleEG5,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele20_CaloIdVT_CaloIsoVT_TrkIdT_TrkIsoVT_SC4_Mass50_v6,7,hltL1sL1SingleIsoEG18er,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele27_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_v11,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele27_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Ele15_CaloIdT_CaloIsoVL_trackless_v7,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele27_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_HFT15_v7,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele23_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_HFT30_v7,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele23_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_HFT30_v7,53,hltEle23TightIdLooseIsoTrackIsoFilter,HLTElectronGenericFilter,82,1,-11,23.9286,0.416425,0.437469,-0.00627566
HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet30_v3,7,hltL1sL1SingleEG20orL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet45_35_25_v1,7,hltL1sL1SingleEG20orL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet50_40_30_v3,7,hltL1sL1SingleEG20orL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele27_WP80_v11,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele27_WP80_PFMET_MT50_v6,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele30_CaloIdVT_TrkIdT_v6,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele32_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_v11,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele32_CaloIdT_CaloIsoT_TrkIdT_TrkIsoT_SC17_Mass50_v6,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele80_CaloIdVT_GsfTrkIdT_v2,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele90_CaloIdVT_GsfTrkIdT_v2,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_DoubleEle33_CaloIdL_v14,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v7,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_DoubleEle33_CaloIdT_v10,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele32_WP80_PFJet30_PFJet25_Deta3_v3,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele32_WP80_PFJet30_PFJet25_Deta3_CentralPFJet30_v3,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele32_WP80_CentralPFJet35_CentralPFJet25_v3,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele32_WP80_CentralPFJet35_CentralPFJet25_PFMET20_v3,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele25_CaloIdVT_CaloIsoT_TrkIdT_TrkIsoT_CentralPFNoPUJet30_v7,7,hltL1sL1SingleEG20orL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_DiCentralPFNoPUJet30_v1,7,hltL1sL1SingleEG20orL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele25_CaloIdVT_CaloIsoT_TrkIdT_TrkIsoT_CentralPFNoPUJet30_BTagIPIter_v8,7,hltL1sL1SingleEG20orL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele27_WP80_CentralPFJet80_v8,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele27_WP80_WCandPt80_v8,7,hltL1sL1SingleEG20ORL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele30_CaloIdVT_TrkIdT_PFNoPUJet100_PFNoPUJet25_v7,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele30_CaloIdVT_TrkIdT_PFNoPUJet150_PFNoPUJet25_v7,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele22_eta2p1_WP90Rho_LooseIsoPFTau20_v6,7,hltL1sL1SingleIsoEG18erORIsoEG20erOREG22,HLTLevel1GTSeed,-83,74,0,22,0.5215,0.349066,0
HLT_Ele22_eta2p1_WP90Rho_LooseIsoPFTau20_v6,24,hltEle22WP90RhoClusterShapeFilter,HLTEgammaGenericFilter,81,0,0,23.6283,0.44746,0.401415,-3.15398e-07
HLT_Ele22_eta2p1_WP90Rho_LooseIsoPFTau20_v6,38,hltEle22WP90RhoEcalIsoFilter,HLTEgammaGenericFilter,81,0,0,23.6283,0.44746,0.401415,-3.15398e-07
HLT_Ele22_eta2p1_WP90Rho_LooseIsoPFTau20_v6,44,hltEle22WP90RhoHEFilter,HLTEgammaGenericFilter,81,0,0,23.6283,0.44746,0.401415,-3.15398e-07
HLT_Ele22_eta2p1_WP90Rho_LooseIsoPFTau20_v6,46,hltEle22WP90RhoHcalIsoFilter,HLTEgammaGenericFilter,81,0,0,23.6283,0.44746,0.401415,-3.15398e-07
HLT_Ele22_eta2p1_WP90Rho_LooseIsoPFTau20_v6,54,hltEle22WP90RhoPixelMatchFilter,HLTElectronPixelMatchFilter,92,0,0,23.6283,0.44746,0.401415,-3.15398e-07
HLT_Ele22_eta2p1_WP90Rho_LooseIsoPFTau20_v6,58,hltEle22WP90RhoOneOEMinusOneOPFilter,HLTElectronOneOEMinusOneOPFilterRegional,82,2,-11,23.9286,0.416425,0.437469,-0.00627566
HLT_Ele22_eta2p1_WP90Rho_LooseIsoPFTau20_v6,60,hltEle22WP90RhoDetaFilter,HLTElectronGenericFilter,82,2,-11,23.9286,0.416425,0.437469,-0.00627566
