pos_x,pos_y,pos_z
-0.0180107,0.0392305,0.111862
-0.0908864,0.188692,0.593726
-0.164373,0.337871,1.07558
-0.238464,0.486766,1.55742
-0.313153,0.635373,2.03926
-0.388429,0.783686,2.52109
-0.464275,0.931699,3.00292
-0.540671,1.0794,3.48477
-0.617589,1.22675,3.96663
-0.694989,1.37372,4.44853
-0.772818,1.52022,4.93051
-0.850937,1.66627,5.41258
-0.929284,1.81203,5.8947
-1.0079,1.95755,6.37685
-1.08677,2.1029,6.85902
-1.16571,2.24818,7.34119
-1.24411,2.39376,7.82336
-1.32191,2.53965,8.30553
-1.3996,2.68562,8.78769
-1.47658,2.83197,9.26985
-1.55335,2.97845,9.752
0.0267249,-0.0347247,-0.0340662
0.239359,-0.332264,-0.214151
0.44314,-0.634455,-0.393585
0.638088,-0.94121,-0.572508
0.824191,-1.25245,-0.751075
1.00134,-1.56812,-0.929464
1.16927,-1.88823,-1.1079
1.32757,-2.21282,-1.28667
1.47568,-2.54192,-1.46619
1.61314,-2.87544,-1.64705
1.74473,-3.21063,-1.82999
1.87647,-3.54495,-2.01434
2.00966,-3.87859,-2.19866
2.14404,-4.21173,-2.38284
2.28257,-4.54308,-2.56663
2.42245,-4.87393,-2.75016
2.56533,-5.20362,-2.93316
2.71187,-5.5319,-3.11551
2.85933,-5.85988,-3.29759
3.0099,-6.18661,-3.47923
3.16357,-6.5121,-3.66039
