pt,charge,pos_x,pos_y,pos_z,phi,eta,calo_energy
50.2155,-1,0.000762934,0.000656555,-0.0237536,2.0235,1.79088,0
13.6943,1,0.000701377,0.000594825,0.010035,-0.916733,-0.484146,0
