pos_x,pos_y,pos_z
-0.0741462,-0.0236201,-0.179773
-0.258615,-0.0790788,-0.468888
-0.446883,-0.123397,-0.753768
-0.639382,-0.156344,-1.03403
-0.836848,-0.177615,-1.30905
-1.04045,-0.186801,-1.57781
-1.25202,-0.183338,-1.83878
-1.47433,-0.166421,-2.08955
-1.71173,-0.134784,-2.32647
-1.97098,-0.0864833,-2.54378
-2.26293,-0.018488,-2.73225
-2.55151,0.0517758,-2.92326
-2.802,0.111572,-3.1466
-3.02652,0.168724,-3.39155
-3.23262,0.226977,-3.65151
-3.42637,0.283153,-3.92182
-3.61229,0.334286,-4.19907
-3.79293,0.380393,-4.48116
-3.9699,0.421943,-4.76671
-4.14426,0.459512,-5.05482
-4.31661,0.493668,-5.34491
