pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z
6.53982,-0.000148372,0.657825,1,0.000751561,0.000570851,-0.00199786,5.17511,3.99843,-0.000970323
18.8636,-1.98207,-1.2669,-1,0.000570206,0.000591737,-0.00194211,5.64482,-17.9992,-67.1543
3.04292,0.0924103,1.10505,-1,-0.00833021,0.00512249,-0.00110364,1.36654,2.71881,0.281597
