energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
23.2849,0.5309,1.26413,0.0663211,0.0483523,1.17319,undefined,0.0183594,0.0892992,23.1807,0
6.47992,1.24676,0.543932,0.0124461,0.00914978,0.411383,undefined,0.0258465,0.105924,6.35425,0
6.80503,-1.35342,0.10728,0.867416,0.601898,3.06249,undefined,0.0147892,0.0790934,6.58735,0
3.87243,0.546461,1.22701,0.169519,0.125873,1.15181,undefined,0.0160134,0.119328,3.85465,0
3.46303,0.539515,1.25286,-0.0252332,-0.0184971,1.16417,undefined,0.00735067,0.00809689,3.45615,0
4.65464,0.761028,-1.11127,1.28269,0.847271,-0.970328,undefined,0.0204416,0.0275362,4.65906,0
3.10798,-1.14492,-0.718638,-0.204082,-0.150406,-2.58107,undefined,0.0170414,0.11587,3.11659,0
2.9924,-0.223432,1.34308,0.166891,0.12227,1.73564,undefined,0.00819029,0.00521001,3.01653,0
2.91302,0.117185,1.3456,0.998553,0.684556,1.48393,undefined,0.0073714,0.00941637,2.89849,0
2.20808,0.716958,1.15793,-0.0998202,-0.0732282,1.0164,undefined,0.0135868,0.0130112,2.22018,0
3.19424,0.100633,1.34015,-1.46466,-0.943494,1.49585,undefined,0.0103127,0.0963407,3.13567,0
1.99915,0.278874,1.32885,0.126248,0.0928465,1.36394,undefined,0.0111732,0.012783,1.97686,0
1.62663,-1.34589,-0.208308,-0.264418,-0.192952,-2.98804,undefined,0.00567517,0.0100155,1.63029,0
