et,eta,theta,phi
89.0909,-1.53201,2.71593,2.81168
66.1515,0.173508,1.39815,0.00736448
42.9479,-0.286039,1.85301,-1.07034
27.3858,0.308991,1.26661,2.9144
25.3749,-0.458713,2.01422,-2.40299
18.7103,-3.12676,3.05393,-1.10931
17.6519,-1.47448,2.69155,-1.59887
15.4521,-1.67436,2.77103,0.27469
16.537,0.519779,1.07296,1.21323
14.8579,1.16738,0.603368,-0.670526
15.3595,-0.581458,2.12201,2.17525
14.6377,0.887429,0.781125,-2.31224
13.8531,1.89157,0.299411,-2.73317
13.5299,-0.723883,2.23866,0.727516
12.342,3.81569,0.0440381,2.28041
11.8831,-2.3082,2.94336,-2.0662
11.6666,-3.88218,3.10039,0.535332
11.4512,-2.59245,2.9922,2.64937
9.80432,2.28204,0.203447,-0.506353
9.62409,-3.02961,3.045,1.20956
9.3316,-3.78269,3.09608,3.13822
9.37327,-1.95058,2.8591,1.45143
9.45646,1.47457,0.450004,0.336221
8.13862,2.93695,0.105955,2.98948
7.65562,4.00892,0.0363022,-0.213024
7.326,2.03899,0.258866,1.80232
7.0277,3.0401,0.095587,-1.75401
6.06141,2.0035,0.268106,-1.5321
5.91004,-4.33405,3.11537,1.61954
5.45944,3.24678,0.077759,1.1692
5.43585,-3.05234,3.04717,0.071496
5.18768,4.23064,0.029084,-2.8792
4.91955,-1.21582,2.56517,-0.534444
4.68543,0.444288,1.14044,-1.35442
4.39081,-2.03365,2.88136,-1.09095
4.30127,1.25741,0.554147,2.38162
4.21339,-3.06469,3.04832,-2.5124
4.08667,4.40103,0.0245281,1.53817
4.06454,-3.26074,3.06491,1.96218
3.93401,-4.58537,3.12119,-1.57479
3.4739,3.14426,0.0861444,-0.916181
3.30678,-4.08204,3.10785,-0.523645
3.0263,2.94546,0.105059,0.268394
