isValid,isFake,pos,xError,yError,zError,chi2,ndof
1,0,0.000753581,0.00059865,0.0463299,8.44572e-06,8.57499e-06,1.11598e-05,41.7098,53.068
1,0,0.00071139,0.000584186,0.0701419,1.22668e-05,3.97131e-05,2.2106e-05,31.2583,42.0197
1,0,0.000752946,0.000603094,0.0210957,1.92101e-05,1.82436e-05,2.68905e-05,88.7584,109.236
1,0,0.000742971,0.000457868,-0.022625,5.03704e-05,8.73246e-05,8.96989e-05,7.59854,8.26422
1,0,0.000782738,0.000614157,-0.0730061,4.66709e-05,5.10355e-05,8.07831e-05,23.0836,41.8663
1,0,0.000728799,0.000606994,0.00845853,6.17722e-05,5.68168e-05,7.7976e-05,16.925,25.8322
1,0,0.000667407,0.000597025,0.0279156,5.74567e-05,5.96619e-05,8.29622e-05,11.7286,12.463
1,0,0.000647881,0.000559688,-0.00906205,7.41718e-05,0.000115361,0.000132883,8.97847,12.3001
1,0,0.000698461,0.000535219,-0.0285748,8.91964e-05,0.000127611,0.000113173,3.92273,6.77211
1,0,0.000800748,0.00050944,0.125395,0.000245402,0.000251444,0.000146103,0.00123043,0.942946
