et,eta,theta,phi
76.6536,0.104335,1.46665,-1.45731
71.8988,0.383563,1.19631,2.01583
27.5991,4.01656,0.0360259,0.308913
22.8072,-1.39729,2.65679,2.30811
23.0796,0.108999,1.46201,-0.420998
17.49,-0.997515,2.43495,0.507228
14.8122,-2.48322,2.97503,0.690121
13.2919,3.14671,0.0859341,0.680804
13.6267,-0.470059,2.02444,-2.71517
12.2446,-3.89386,3.10087,-3.13892
12.779,0.790175,0.851962,-2.34374
11.2318,1.85163,0.311419,2.3104
10.7975,2.42382,0.176704,-2.57806
10.2854,-3.90513,3.10132,-2.09666
10.3266,1.5932,0.401083,-0.0553918
9.39118,-1.30649,2.61273,-1.94938
8.15518,-3.04137,3.04613,-1.28113
7.55037,-1.91014,2.84761,1.59123
7.36243,-3.4974,3.08106,0.439671
7.04534,3.50579,0.0600278,2.42723
7.04283,3.51219,0.0596452,-2.90543
6.93138,3.89804,0.0405577,-1.68092
6.64304,-1.49412,2.70002,-3.06526
6.26576,-2.05719,2.88735,-0.194269
5.88936,1.75579,0.342163,0.780183
5.49435,-3.22049,3.06176,1.59493
5.41362,3.26516,0.0763448,-0.39961
5.65395,-0.681512,2.20496,1.56063
5.0064,-2.36442,2.95414,-2.87577
4.84822,-4.38711,3.11672,-0.554598
4.96434,1.06168,0.665987,1.44917
4.6797,1.21646,0.576078,-1.17244
4.5598,4.43374,0.0237388,-0.604587
4.56521,2.12781,0.23708,-0.747278
4.46736,-4.24573,3.11294,1.18466
4.2473,-2.24214,2.92992,-1.71045
4.08765,4.00992,0.0362659,1.41668
3.55854,2.71564,0.132133,1.48595
3.59192,-1.05824,2.47347,-1.10067
3.55622,0.549442,1.04708,0.526112
3.32144,4.47695,0.0227352,-2.71589
3.45011,0.530516,1.06355,2.96288
