isValid,isFake,pos_x,pos_y,pos_z,xError,yError,zError,chi2,ndof
1,0,0.000781488,0.000601884,0.124368,1.21301e-05,1.28589e-05,1.28365e-05,85.2345,80.263
1,0,0.000714527,0.000594591,-0.00372605,2.24122e-05,2.07176e-05,3.05389e-05,35.2098,65.29
1,0,0.000734661,0.000617779,0.0335733,2.50776e-05,2.64508e-05,3.99094e-05,77.8439,72.5149
1,0,0.000728229,0.000587844,-0.0460622,2.91731e-05,3.56122e-05,4.01083e-05,13.1058,23.0619
1,0,0.000699638,0.000618862,0.0945396,4.32303e-05,3.94509e-05,7.04444e-05,37.8049,46.1011
1,0,0.000573809,0.000628944,0.0179769,5.99729e-05,7.9823e-05,0.000173849,12.3529,10.4576
1,0,0.000743528,0.000682715,0.0187558,0.000110787,0.000105784,0.000225899,3.92351,8.76095
1,0,0.000402695,0.000505439,-0.0475314,0.000124409,0.000115371,0.000260285,8.64532,8.76865
1,0,0.000815354,0.000716757,-0.0130825,0.000135231,0.000126007,0.000149999,4.40042,6.72019
1,0,0.000574006,0.00068918,0.0672087,0.000130421,0.000134659,0.000226857,11.1966,8.06809
