et,eta,theta,phi
51.4994,-0.521892,2.07049,-2.34138
20.1386,2.92383,0.107352,2.81673
19.9861,2.08775,0.246672,-2.05602
20.3703,-1.05396,2.47082,0.690084
18.6347,3.74205,0.0474019,1.13291
18.5142,3.77412,0.0459066,-0.519728
17.7088,2.17149,0.227034,0.521363
16.627,-2.00085,2.87278,-2.58376
13.9707,-3.23914,3.06324,0.559725
14.328,0.881254,0.785483,-2.80662
13.6074,4.16179,0.0311568,3.06329
11.9001,-2.88179,3.02964,-1.53455
11.7539,3.70467,0.0492065,-1.88203
11.1947,-1.52598,2.71344,2.56953
11.362,0.899493,0.772668,-1.75305
10.4538,-2.019,2.87756,1.55646
9.89479,-1.83952,2.82644,0.0983881
9.90749,1.296,0.534172,-0.357089
8.58626,0.914384,0.762328,0.808538
8.88051,-0.599549,2.13735,-1.238
7.9407,2.062,0.253041,1.99228
7.40794,3.77657,0.0457941,2.04604
7.64537,-0.0198368,1.59063,0.136731
7.02044,-3.34524,3.07112,-2.77018
6.63985,-3.71507,3.09289,2.4642
6.60021,4.3765,0.0251373,0.292194
6.28999,2.08017,0.248531,-0.872131
5.88437,-0.615103,2.15042,2.994
5.44058,2.03006,0.261161,-3.08903
4.53556,-1.69463,2.77831,-1.00814
4.18784,2.95549,0.104012,-2.50887
4.20478,0.620006,0.987076,2.61179
3.5505,-4.54917,3.12044,0.494501
3.66192,-0.649647,2.17905,1.73252
3.61786,0.492265,1.09729,-0.903353
3.29309,3.09688,0.0903183,0.376715
3.01621,-4.47819,3.11889,1.77082
3.01182,2.98436,0.101057,-0.829867
