pos_x,pos_y,pos_z
-0.0221259,0.0378623,-0.231394
-0.0773761,0.127547,-0.726101
-0.133706,0.216377,-1.22082
-0.19107,0.304356,-1.71555
-0.249415,0.391499,-2.2103
-0.308675,0.477844,-2.70507
-0.368771,0.563458,-3.19987
-0.429614,0.648446,-3.69467
-0.491105,0.732984,-4.18947
-0.553124,0.817359,-4.68423
-0.615546,0.902048,-5.17889
-0.679738,0.987323,-5.67321
-0.746377,1.07272,-6.1672
-0.814532,1.15804,-6.66101
-0.883485,1.2433,-7.15472
-0.952892,1.32846,-7.6484
-1.02192,1.41397,-8.14206
-1.09111,1.49934,-8.63573
-1.15923,1.58539,-9.12941
-1.22635,1.67205,-9.62312
-1.29311,1.7588,-10.1169
-0.00559157,-0.0499375,-0.0618235
-0.0556458,-0.419732,-0.344353
-0.115259,-0.787224,-0.62627
-0.184347,-1.15236,-0.907675
-0.262829,-1.5151,-1.18865
-0.350695,-1.87539,-1.46925
-0.448053,-2.23321,-1.74951
-0.555137,-2.58849,-2.02938
-0.672219,-2.94125,-2.30875
-0.798785,-3.29186,-2.58734
-0.927286,-3.64318,-2.8643
-1.05388,-3.99597,-3.14009
-1.1786,-4.34918,-3.41602
-1.30178,-4.70267,-3.69218
-1.42071,-5.05748,-3.96824
-1.53796,-5.41272,-4.24437
-1.65209,-5.76853,-4.52093
-1.76285,-6.12478,-4.79817
-1.87281,-6.48111,-5.07563
-1.97966,-6.83848,-5.3529
-2.0841,-7.19676,-5.6299
