pt,charge,pos_x,pos_y,pos_z,phi,eta
8.56089,-1,0.000400495,0.00041849,-0.0262792,2.11001,-2.25046
16.3885,1,0.000483681,0.000629877,-0.0232752,-1.6886,-0.698751
1.35791,-1,0.000675039,0.000617511,-0.0306023,1.1796,-1.75708
1.48685,-1,0.000714337,0.000601894,-0.0447238,1.25214,-1.51194
1.04242,-1,0.000278896,0.00066068,0.0297388,1.43481,-2.32205
2.64418,-1,0.000778539,0.000630545,-0.0230785,1.95067,-1.88597
1.12966,-1,0.000727025,0.000594553,0.0309335,1.09339,-1.69941
0.973167,-1,0.000799739,0.000704473,0.0306535,-0.68444,1.69945
0.896742,-1,0.000834235,0.00469617,-0.0625607,-0.0312235,-1.80551
1.53641,-1,0.0222957,-0.00535103,-0.0992443,1.30186,-1.63141
1.64048,-1,0.00951406,-0.00199292,-0.090067,1.28417,-1.4585
