et,eta,theta,phi
64.0204,-1.05203,2.46962,1.36246
57.733,-1.0565,2.4724,0.0934527
58.5749,0.705486,0.917461,-2.88586
48.7999,0.405572,1.17591,1.63198
47.0246,0.984746,0.71497,0.581128
38.455,-1.68596,2.77521,-2.77464
42.1838,-0.0366536,1.60744,-0.449193
38.1515,1.54668,0.419641,-0.704018
39.5432,-0.182818,1.7526,-1.85202
34.9365,1.47481,0.449901,-1.94903
32.4225,-3.10079,3.05163,-0.296409
31.5691,2.79166,0.122485,-0.426252
31.5072,3.09392,0.0905858,2.62821
30.5889,1.90938,0.294203,1.38908
29.6486,-2.86487,3.02774,2.63516
29.4708,1.87589,0.304072,2.75945
28.0554,-3.0625,3.04812,1.21119
27.8938,-3.8939,3.10087,-2.50771
27.6204,3.53188,0.058483,0.384825
30.0379,-0.542039,2.08809,3.01606
25.6446,3.1556,0.0851738,1.46615
25.6472,-2.89577,3.03119,-2.00589
25.5166,-2.05741,2.8874,0.684345
24.4198,-4.11515,3.10895,-0.688413
21.9921,3.11063,0.0890866,-1.41303
21.942,4.22569,0.0292284,2.65724
21.6552,-2.10588,2.89931,-1.2882
21.2647,2.59292,0.149324,-2.51823
20.9283,-1.73793,2.79339,2.43599
19.7607,4.27793,0.0277409,-1.93082
14.519,-4.03099,3.10608,0.598001
14.3913,-1.13768,2.52117,-0.979339
13.3464,4.4616,0.0230868,0.212234
13.2692,4.59837,0.0201358,1.39628
13.0853,-4.40697,3.11721,2.62903
12.6509,1.21766,0.575421,2.10385
11.7134,3.97144,0.037688,-2.77855
11.4584,-4.08407,3.10792,1.70492
11.0607,4.06437,0.0343443,-0.845031
10.7879,-1.19759,2.55516,-1.96729
10.5365,0.602746,1.00155,-1.3714
9.58934,2.17302,0.22669,0.386978
9.03776,-3.62793,3.08846,-1.4737
7.23873,1.58813,0.403066,-2.81612
7.48759,-0.174938,1.74485,0.775154
6.28034,-1.84191,2.82718,-0.314943
5.67636,0.347699,1.2299,2.61936
5.01611,-4.77957,3.12479,-1.69936
5.06789,-0.505062,2.05566,2.20415
4.3159,-4.95819,3.12754,0.812522
4.04534,2.17709,0.225778,-1.4509
3.78195,5.01746,0.0132425,-0.561155
3.07157,-4.86188,3.12612,-2.78746
