isValid,isFake,pos_x,pos_y,pos_z,xError,yError,zError,chi2,ndof
1,0,0.00072688,0.000626931,0.00615654,5.48036e-06,4.25372e-06,7.23589e-06,149.804,151.421
1,0,0.000718453,0.000632345,-0.010418,1.87096e-05,1.4915e-05,1.75576e-05,66.2612,103.411
1,0,0.000704551,0.000666986,-0.0599953,1.99536e-05,2.25336e-05,2.97524e-05,70.7162,69.617
1,0,0.000759645,0.000600509,-0.0289963,2.44926e-05,2.99229e-05,3.16163e-05,38.8307,48.0187
1,0,0.000701113,0.000578008,0.0253302,3.10128e-05,3.4053e-05,4.24797e-05,73.0374,91.4755
1,0,0.000731695,0.000611828,-0.00679924,3.57065e-05,3.70176e-05,6.04592e-05,29.6211,32.9012
1,0,0.000725507,0.000597701,-0.0315322,2.98577e-05,3.94589e-05,4.34348e-05,37.9885,53.1154
1,0,0.000720551,0.000573322,-0.0809743,5.18854e-05,4.12192e-05,5.85545e-05,30.826,38.9816
1,0,0.000675005,0.00060678,-0.0242647,4.84153e-05,4.82928e-05,6.10795e-05,38.1102,50.0641
1,0,0.000692671,0.000629104,-0.0376311,5.55921e-05,3.84144e-05,5.53146e-05,24.1201,33.6168
1,0,0.000754833,0.00074741,0.0323732,7.01781e-05,8.92336e-05,0.00014525,13.9291,18.4359
1,0,0.00115071,0.00106118,0.00983683,0.000178313,0.00013011,0.000203503,2.9815,2.81376
1,0,0.000577379,0.00065364,-0.00134312,0.000138498,0.000167509,0.000176186,1.88949,8.78578
1,0,0.000627809,0.000656618,-0.149615,0.000132329,0.000136599,0.000404898,2.07323,4.81861
1,0,0.000785118,0.000590609,-0.0665446,0.000152053,0.000161153,0.000256821,6.41443,6.53979
