energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
221.19,1.38311,-0.192688,0.254298,0.18111,-0.138424,undefined,0.0158884,0.0468702,217.67,0
68.4295,-0.821044,1.06403,2.44188,1.35862,2.228,undefined,0.0160267,0.070047,65.9923,0
55.5377,-1.15584,0.691965,-2.13064,-1.23919,2.60215,undefined,0.0131957,0.0506743,53.7761,0
20.6859,1.35348,-0.218726,0.318123,0.229998,-0.160218,undefined,0.0122547,0.0696562,20.4182,0
6.67958,1.14314,0.759044,-0.768687,-0.534388,0.586153,undefined,0.0109156,0.00972942,6.51931,0
5.3041,1.12914,0.752207,-0.567798,-0.407155,0.587663,undefined,0.0169753,0.0298583,5.33843,0
4.51119,1.33339,0.27074,-0.517617,-0.371807,0.200323,undefined,0.0107443,0.0196963,4.47497,0
4.97577,1.35355,-0.0639196,-1.37137,-0.889859,-0.0471884,undefined,0.0160604,0.0199948,5.03261,0
5.03715,-1.28934,0.349905,-1.7226,-1.07197,2.87659,undefined,0.00939231,0.0829398,4.8526,0
2.33217,1.315,-0.370853,0.501878,0.359531,-0.274878,undefined,0.0088786,0.00932717,2.35629,0
2.73673,1.28482,-0.420174,1.07977,0.731714,-0.316068,undefined,0.00938352,0.014817,2.75927,0
2.02148,1.24446,-0.558231,0.658901,0.466036,-0.421666,undefined,0.00969911,0.00724158,2.03456,0
