pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z
21.883,2.42651,0.906854,1,0.0018009,-0.000215327,-0.0398944,13.4849,17.2343,122.883
10.4819,2.34229,1.04392,-1,-1.38397e-05,0.00100939,-0.0393985,5.27065,9.06037,54.0288
